"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"KEGG_2019_Mouse.1","Regulation of actin cytoskeleton","2/217",0.0112114339603224,1,0,0,12.2887864823349,55.1867420229763,"GSN;MYH9"
"KEGG_2019_Mouse.2","Steroid biosynthesis","1/19",0.0141604247470608,1,0,0,70.1754385964912,298.758189116147,"DHCR24"
"KEGG_2019_Mouse.3","Amino sugar and nucleotide sugar metabolism","1/49",0.0361386092201723,1,0,0,27.2108843537415,90.3508429299313,"CYB5R3"
"BioPlanet_2019.1","BDNF signaling pathway","3/261",0.000889994539759941,1,0,0,15.3256704980843,107.652034181733,"ZFP36;MYH9;EIF4B"
"BioPlanet_2019.2","Cytochrome P450 metabolism of eicosanoids","1/5",0.00374469708393798,1,0,0,266.666666666667,1489.97721353285,"PTGIS"
"BioPlanet_2019.3","S6K1 signaling","1/8",0.00598524283644591,1,0,0,166.666666666667,853.076394436481,"EIF4B"
"BioPlanet_2019.4","Vitamin C (ascorbate) metabolism","1/8",0.00598524283644591,1,0,0,166.666666666667,853.076394436481,"CYB5R3"
"BioPlanet_2019.5","Mammalian target of rapamycin complex 1 (mTORC1)-mediated signaling","1/11",0.00822108812367145,1,0,0,121.212121212121,581.945782246346,"EIF4B"
"BioPlanet_2019.6","Caspase-mediated cleavage of cytoskeletal proteins","1/12",0.0089653267055103,1,0,0,111.111111111111,523.821192250734,"GSN"
"BioPlanet_2019.7","Actin cytoskeleton regulation","2/226",0.012115773668748,1,0,0,11.7994100294985,52.0737116973743,"GSN;MYH9"
"BioPlanet_2019.8","Eicosanoid biosynthesis","1/19",0.0141604247470608,1,0,0,70.1754385964912,298.758189116147,"PTGIS"
"BioPlanet_2019.9","Destabilization of mRNA by butyrate response factor 1 (BRF1)","1/19",0.0141604247470608,1,0,0,70.1754385964912,298.758189116147,"ZFP36"
"BioPlanet_2019.10","Rho cell motility signaling pathway","1/23",0.01711763141868,1,0,0,57.9710144927536,235.805580843631,"GSN"
"BioPlanet_2019.11","Eicosanoid metabolism","1/23",0.01711763141868,1,0,0,57.9710144927536,235.805580843631,"PTGIS"
"BioPlanet_2019.12","Collagen binding in corneal epithelia mediated by Erk and PI-3 Kinase","1/23",0.01711763141868,1,0,0,57.9710144927536,235.805580843631,"GSN"
"BioPlanet_2019.13","Deadenylation of mRNA","1/23",0.01711763141868,1,0,0,57.9710144927536,235.805580843631,"EIF4B"
"BioPlanet_2019.14","Cholesterol biosynthesis","1/24",0.0178556385652366,1,0,0,55.5555555555556,223.635329701684,"DHCR24"
"BioPlanet_2019.15","Steroid biosynthesis","1/26",0.0193301017548388,1,0,0,51.2820512820513,202.363678035222,"DHCR24"
"BioPlanet_2019.16","PKB-mediated events","1/28",0.0208024990214189,1,0,0,47.6190476190476,184.413435915772,"EIF4B"
"BioPlanet_2019.17","Sema4D in semaphorin signaling","1/29",0.0215379237658092,1,0,0,45.9770114942529,176.457011567914,"MYH9"
"BioPlanet_2019.18","Prostaglandin biosynthesis and regulation","1/31",0.0230072271319288,1,0,0,43.010752688172,162.234274807888,"PTGIS"
"BioPlanet_2019.19","Alpha-V beta-3 integrin/OPN pathway","1/31",0.0230072271319288,1,0,0,43.010752688172,162.234274807888,"GSN"
"BioPlanet_2019.20","N-cadherin signaling events","1/34",0.0252073218784412,1,0,0,39.2156862745098,144.338069644496,"GSN"
"BioPlanet_2019.21","EGF receptor (ErbB1) signaling pathway","1/35",0.0259396587086568,1,0,0,38.0952380952381,139.123133605056,"GSN"
"BioPlanet_2019.22","Amino sugar and nucleotide sugar metabolism","1/45",0.0332348399957846,1,0,0,29.6296296296296,100.863897950486,"CYB5R3"
"BioPlanet_2019.23","Deadenylation-dependent mRNA decay","1/49",0.0361386092201723,1,0,0,27.2108843537415,90.3508429299313,"EIF4B"
"BioPlanet_2019.24","Translation factors","1/50",0.0368632785936063,1,0,0,26.6666666666667,88.0143835600284,"EIF4B"
"BioPlanet_2019.25","Metabolism of vitamins and cofactors","1/51",0.0375874394476065,1,0,0,26.1437908496732,85.7800089317738,"CYB5R3"
"BioPlanet_2019.26","Amyloids","1/51",0.0375874394476065,1,0,0,26.1437908496732,85.7800089317738,"GSN"
"BioPlanet_2019.27","Apoptotic execution  phase","1/52",0.0383110921224364,1,0,0,25.6410256410256,83.641431107,"GSN"
"BioPlanet_2019.28","Activation of mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S","1/57",0.0419217443178537,1,0,0,23.3918128654971,74.197675536824,"EIF4B"
"BioPlanet_2019.29","Arachidonic acid metabolism","1/58",0.0426423548276304,1,0,0,22.9885057471264,72.5266040197869,"PTGIS"
"BioPlanet_2019.30","Tryptophan metabolism","1/58",0.0426423548276304,1,0,0,22.9885057471264,72.5266040197869,"DHCR24"
"BioPlanet_2019.31","HIV-1 Nef as negative effector of Fas and TNF","1/58",0.0426423548276304,1,0,0,22.9885057471264,72.5266040197869,"GSN"
"BioPlanet_2019.32","Caspase cascade in apoptosis","1/59",0.0433624594690451,1,0,0,22.5988700564972,70.9188972064928,"GSN"
"BioPlanet_2019.33","Clathrin derived vesicle budding","1/61",0.0448011524424067,1,0,0,21.8579234972678,67.8802495241791,"TGOLN2"
