"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"BioPlanet_2019.5","Reelin signaling pathway","2/29",0.00330001876983437,0.996605668489981,0,0,23.3781414377557,133.578658625302,"LRPAP1;RELN"
"KEGG_2019_Mouse.1","Longevity regulating pathway","3/102",0.00340370953399378,1,0,0,9.97008973080758,56.6589172751847,"HDAC2;CREB1;PPARGC1A"
"KEGG_2019_Mouse.2","Vasopressin-regulated water reabsorption","2/43",0.00714815493615837,1,0,0,15.7666535277887,77.9014742840208,"CREB1;ARHGDIG"
"KEGG_2019_Mouse.3","Huntington disease","3/192",0.0191076060083029,1,0,0,5.29661016949153,20.9622288287512,"HDAC2;CREB1;PPARGC1A"
"KEGG_2019_Mouse.4","Synaptic vesicle cycle","2/77",0.021728397539727,1,0,0,8.80475456746643,33.7145959196842,"RAB3A;DNM1"
"KEGG_2019_Mouse.5","Riboflavin metabolism","1/8",0.0233616444222661,1,0,0,42.3728813559322,159.180496979276,"ACP2"
"KEGG_2019_Mouse.6","Insulin secretion","2/86",0.0266887138390082,1,0,0,7.88332676389436,28.5653488813461,"RAB3A;CREB1"
"KEGG_2019_Mouse.7","Viral carcinogenesis","3/229",0.030123035696736,1,0,0,4.44082599363482,15.5538380329429,"HDAC2;CREB1;YWHAZ"
"KEGG_2019_Mouse.8","Glucagon signaling pathway","2/102",0.0365061121411435,1,0,0,6.64672648720505,22.0024963542116,"CREB1;PPARGC1A"
"KEGG_2019_Mouse.9","Insulin resistance","2/110",0.0418597819447667,1,0,0,6.1633281972265,19.5588891903419,"CREB1;PPARGC1A"
"BioPlanet_2019.1","Mitochondrial gene expression","2/19",0.00141647463282005,1,0,0,35.6824264049955,234.061878580039,"CREB1;PPARGC1A"
"BioPlanet_2019.2","p38 MK2 pathway","2/21",0.00173295101452791,1,0,0,32.2841000807102,205.260033411889,"CREB1;YWHAZ"
"BioPlanet_2019.3","CARM1 and regulation of the estrogen receptor","2/26",0.00265667718446402,1,0,0,26.0756192959583,154.64613079102,"HDAC2;PPARGC1A"
"BioPlanet_2019.4","Recycling pathway of cell adhesion molecule L1","2/28",0.00307824866090805,1,0,0,24.2130750605327,140.033764172123,"L1CAM;DNM1"
"BioPlanet_2019.6","PI3K/PLC/TRK pathway","2/36",0.00505341316836217,1,0,0,18.8323917137476,99.5798755004192,"CREB1;YWHAZ"
"BioPlanet_2019.7","p38 alpha/beta MAPK downstream pathway","2/38",0.00561770993312676,1,0,0,17.8412132024978,92.4501549211411,"CREB1;PPARGC1A"
"BioPlanet_2019.8","LKB1 signaling events","2/47",0.00849291314505755,1,0,0,14.4248106743599,68.7850445133361,"CREB1;YWHAZ"
"BioPlanet_2019.9","Energy metabolism","2/48",0.00884548607841087,1,0,0,14.1242937853107,66.7775140920626,"CREB1;PPARGC1A"
