"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"BioPlanet_2019.1","G-protein signaling pathways","7/95",1.54268510093618e-08,2.32945450241363e-05,0,0,24.1587575496117,434.547347424444,"PPP3CA;GNAL;PDE1B;AKAP9;AKAP5;CALM2;ADCY5"
"KEGG_2019_Mouse.5","Adrenergic signaling in cardiomyocytes","6/148",5.88972837296469e-06,0.00035691753940166,0,0,13.2919805050953,160.066025848585,"ATP2A2;ATP1A1;ATP2B1;SCN4B;CALM2;ADCY5"
"KEGG_2019_Mouse.3","cAMP signaling pathway","7/211",3.54426310739103e-06,0.000357970573846494,0,0,10.8771657213892,136.510390823088,"PPP1R1B;ATP2A2;ATP1A1;ATP2B1;GRIN2B;CALM2;ADCY5"
"KEGG_2019_Mouse.4","Parkinson disease","6/144",5.02969180076833e-06,0.000380999153908201,0,0,13.6612021857923,166.668741092116,"GNAL;UBB;ND1;CYTB;ND2;ADCY5"
"KEGG_2019_Mouse.2","Dopaminergic synapse","6/135",3.46327648238847e-06,0.000524686387081853,0,0,14.5719489981785,183.217420134801,"PPP3CA;GNAL;PPP1R1B;GRIN2B;CALM2;ADCY5"
"KEGG_2019_Mouse.7","cGMP-PKG signaling pathway","6/172",1.39126951711406e-05,0.000602220948122229,0,0,11.4372855508959,127.899833926656,"PPP3CA;ATP2A2;ATP1A1;ATP2B1;CALM2;ADCY5"
"KEGG_2019_Mouse.1","Amphetamine addiction","5/68",2.00827810087697e-06,0.000608508264565721,0,0,24.1080038572806,316.254408613112,"PPP3CA;PPP1R1B;GRIN2B;CALM2;ADCY5"
"KEGG_2019_Mouse.8","Pancreatic secretion","5/105",1.70657703035279e-05,0.000646366050246118,0,0,15.6128024980484,171.404150464385,"ATP2A2;CCK;ATP1A1;ATP2B1;ADCY5"
"KEGG_2019_Mouse.6","Cocaine addiction","4/48",1.37805732986331e-05,0.000695918951580971,0,0,27.3224043715847,305.799199168573,"PPP1R1B;RGS9;GRIN2B;ADCY5"
"KEGG_2019_Mouse.9","Calcium signaling pathway","6/189",2.37185169251945e-05,0.000798523403148216,0,0,10.4085349986989,110.843138277621,"PPP3CA;GNAL;PDE1B;ATP2A2;ATP2B1;CALM2"
"KEGG_2019_Mouse.10","Gastric acid secretion","4/74",7.68089308746206e-05,0.002327310605501,0,0,17.7226406734603,167.907658611281,"ATP1A1;CALM2;ACTB;ADCY5"
"KEGG_2019_Mouse.11","Renin secretion","4/76",8.52552044028122e-05,0.0023483933576411,0,0,17.2562553925798,161.688721224343,"PPP3CA;PDE1B;CALM2;ADCY5"
