"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"KEGG_2019_Mouse.1","Autophagy","6/130",0.000153319616678258,0.0464558438535121,0,0,7.5046904315197,65.9135896254923,"PPP2CA;MTMR3;PRKAA2;STX17;BAD;ATG2B"
"Reactome_2016.4","Mitophagy_Homo sapiens_R-HSA-5205647","3/22",0.000320921758762036,0.122752572726479,0,0,22.1729490022173,178.366146490434,"PINK1;UBB;MFN2"
"Reactome_2016.2","Mitotic G1-G1/S phases_Homo sapiens_R-HSA-453279","6/136",0.000196090960324883,0.150009584648535,0,0,7.17360114777618,61.2405446420149,"PPP2CA;ORC6;PCNA;UBB;DYRK1A;PSME2"
"Reactome_2016.3","Pink/Parkin Mediated Mitophagy_Homo sapiens_R-HSA-5205685","3/22",0.000320921758762036,0.163670096968639,0,0,22.1729490022173,178.366146490434,"PINK1;UBB;MFN2"
"Reactome_2016.6","G1/S Transition_Homo sapiens_R-HSA-69206","5/112",0.000643592081034226,0.164115980663728,0,0,7.25900116144019,53.3423740352409,"PPP2CA;ORC6;PCNA;UBB;PSME2"
"Reactome_2016.5","Cell Cycle, Mitotic_Homo sapiens_R-HSA-69278","10/462",0.000575553379472288,0.17611933411852,0,0,3.51951571463767,26.2562157494589,"PPP2CA;ORC6;PCNA;UBB;CDC26;DYRK1A;PSME2;CSNK1D;LEMD3;TUBG1"
"Reactome_2016.7","E2F mediated regulation of DNA replication_Homo sapiens_R-HSA-113510","3/33",0.00108229289620366,0.236558304455944,0,0,14.7819660014782,100.941218570523,"PPP2CA;PCNA;ORC6"
"BioPlanet_2019.3","Cell cycle","10/453",0.000494160886814608,0.248727646363353,0,0,3.58943986790861,27.3251472998016,"PPP2CA;DIDO1;ORC6;PCNA;UBB;CDC26;DYRK1A;PSME2;CSNK1D;TUBG1"
"Reactome_2016.92","Signaling by FGFR3_Homo sapiens_R-HSA-5654741","6/333",0.0170667777048918,0.283827933570484,0,0,2.92975902732,11.925940172797,"PPP2CA;PHLPP1;UBB;BAD;PSME2;DUSP7"
"BioPlanet_2019.1","Mitotic G1-G1/S phases","6/135",0.000188376242079427,0.284448125539935,0,0,7.22673893405601,61.9842407037841,"PPP2CA;ORC6;PCNA;UBB;DYRK1A;PSME2"
"Reactome_2016.91","Toll Like Receptor 9 (TLR9) Cascade_Homo sapiens_R-HSA-168138","3/88",0.0170512191578008,0.286685333092694,0,0,5.54323725055432,22.5694765684735,"PPP2CA;UBB;DUSP7"
"Reactome_2016.105","DAP12 signaling_Homo sapiens_R-HSA-2424491","6/344",0.0196840753721155,0.286825098279397,0,0,2.83607487237663,11.1399470416338,"PPP2CA;PHLPP1;UBB;BAD;PSME2;DUSP7"
"Reactome_2016.102","Toll Like Receptor 2 (TLR2) Cascade_Homo sapiens_R-HSA-181438","3/92",0.0191725107192214,0.287587660788321,0,0,5.30222693531283,20.9664780447076,"PPP2CA;UBB;DUSP7"
"Reactome_2016.104","Regulation of TP53 Degradation_Homo sapiens_R-HSA-6804757","2/35",0.0195547703691074,0.287680756391675,0,0,9.29152148664344,36.5578259109504,"PPP2CA;UBB"
"Reactome_2016.103","Programmed Cell Death_Homo sapiens_R-HSA-5357801","4/166",0.0193876412499299,0.287991175848474,0,0,3.91811147027133,15.4495816040257,"UBB;BAD;PSME2;DYNLL2"
"Reactome_2016.95","Separation of Sister Chromatids_Homo sapiens_R-HSA-2467813","4/162",0.0178983945274167,0.288258353967869,0,0,4.01485496336445,16.1519392205709,"PPP2CA;UBB;CDC26;PSME2"
"Reactome_2016.89","Downstream signaling of activated FGFR1_Homo sapiens_R-HSA-5654687","6/332",0.0168414537276788,0.289521620262343,0,0,2.9385836027035,12.0009166853428,"PPP2CA;PHLPP1;UBB;BAD;PSME2;DUSP7"
"Reactome_2016.90","Respiratory electron transport_Homo sapiens_R-HSA-611105","3/88",0.0170512191578008,0.289870725682613,0,0,5.54323725055432,22.5694765684735,"SURF1;SCO2;SDHA"
"Reactome_2016.101","Toll Like Receptor TLR6:TLR2 Cascade_Homo sapiens_R-HSA-168188","3/92",0.0191725107192214,0.290435063370384,0,0,5.30222693531283,20.9664780447076,"PPP2CA;UBB;DUSP7"
