"","gene","distance","Z","p.value","p.adj"
"3860","Atp2b1",0.000454672205635179,2.20913236991606,0.0135827176047489,0.393321984775384
"3007","Ptpro",0.000399082508121092,2.16800955689399,0.0150789797043603,0.393321984775384
"4226","Ndrg4",0.000366533149750101,2.14146843933629,0.0161181404847699,0.393321984775384
"658","Gad1",0.000336668515554332,2.11517960500796,0.0172073212593529,0.393321984775384
"7507","mt-Co3",0.00029356909942054,2.07327515852329,0.019073339603938,0.393321984775384
"7506","mt-Atp6",0.000293389781896187,2.07308953267544,0.0190819739849859,0.393321984775384
"7513","mt-Cytb",0.000288863880933187,2.06837027018852,0.0193026092975646,0.393321984775384
"7298","Malat1",0.000268621605495121,2.04641316854699,0.0203578687752433,0.393321984775384
"7504","mt-Co2",0.000266963575910829,2.04454932103059,0.0204496551032067,0.393321984775384
"7503","mt-Co1",0.000252429771209599,2.02774998416787,0.021292885686053,0.393321984775384
"7508","mt-Nd3",0.000249456476882473,2.02420625849518,0.0214744669556416,0.393321984775384
"6004","Rps29",0.000234608005106306,2.00591902602585,0.0224324439860942,0.393321984775384
"1912","Rps8",0.000221206022919207,1.98849575171088,0.0233784441947303,0.393321984775384
"6597","Rpl35a",0.000219222056034916,1.98583617791021,0.0235257586146607,0.393321984775384
"2494","Atp2a2",0.000216163254537982,1.98169299961228,0.0237568055958374,0.393321984775384
"7352","Fth1",0.00021256118541781,1.97674575963697,0.0240351877666612,0.393321984775384
"7034","Calm2",0.000208275444550335,1.97076027693808,0.0243756511449054,0.393321984775384
"5024","Inpp5j",0.000208239898630483,1.97071017154548,0.0243785182173186,0.393321984775384
"2028","Rsrp1",0.000201491496305551,1.96105527013617,0.0249362879103714,0.393321984775384
"7501","mt-Nd1",0.000201206292611688,1.96064085414768,0.0249604665406867,0.393321984775384
"6208","Rpl30",0.000199736658235279,1.95849698015546,0.0250858625229485,0.393321984775384
"7510","mt-Nd4",0.000195430323718023,1.95213221341081,0.0254612547843977,0.393321984775384
