"","gene","distance","Z","p.value","p.adj"
"4035","Dlc1",1.80056679158481,19.9389276790719,9.35155414420365e-89,7.02862809478346e-85
"2304","Pcdh7",1.58417319571743,17.5193311334777,5.10088630944336e-69,1.91691307508881e-65
"3053","Brsk1",1.57602408191897,17.4282121356285,2.51985861241221e-68,6.31308577696339e-65
"5300","Sgsm2",1.56542054383068,17.3096490883873,1.98916052264383e-67,3.73763262204775e-64
"3794","Slc39a3",1.44410557355204,15.9531704835631,1.35396671978708e-57,2.03528277318394e-54
"278","Arl8a",1.41873559088989,15.6694970127052,1.22253331995678e-55,1.53142673879919e-52
"5178","Slc36a1",1.40836843650823,15.5535770806529,7.52310610072166e-55,8.07766649328914e-52
"30","Kcnq5",1.36446161361141,15.0626346542686,1.42595630263431e-51,1.33968594632494e-48
"686","Zfp385b",1.18474334586962,13.0531218585446,3.04978856168872e-39,2.54691231440582e-36
"5963","Dgkb",1.15279613197774,12.6959053334237,3.11526323388787e-37,2.34143184659012e-34
"6092","Sel1l",1.1059980871258,12.1726348216027,2.1740817179795e-34,1.48549074475763e-31
"1486","Rusc1",1.09222911871663,12.0186776387864,1.41735799319028e-33,8.87738556401509e-31
"5277","Camta2",1.08404572949905,11.9271753916763,4.27115220624958e-33,2.46938307555168e-30
"428","Eprs",1.06751256275624,11.7423104330887,3.8672092854098e-32,2.07613892779572e-29
"4877","Trpc1",1.05647445000854,11.6188882062563,1.65203958086143e-31,8.27781965983633e-29
"1810","Tmem245",0.975363298907651,10.7119470362729,4.47301164144567e-27,2.1011972185691e-24
"3277","Nell1",0.97368950079109,10.6932315279668,5.4744167280225e-27,2.42033624281277e-24
"2072","Kazn",0.908716662446445,9.96674027213261,1.06554238563314e-23,4.44923142801039e-21
"2464","Ksr2",0.842843935263593,9.23018694437986,1.35079987350051e-20,5.34347992064726e-18
"1559","Man1a2",0.837058445977504,9.16549672175528,2.46596535796652e-20,9.26709781523816e-18
"2185","Srpk2",0.833833287302345,9.12943473591818,3.44289397141177e-20,1.23222814710147e-17
"6744","Tbc1d24",0.825212207787522,9.033038471834,8.34849733077512e-20,2.8521502699139e-17
"1871","Dhcr24",0.820605558485789,8.98152940248026,1.33514366869868e-19,4.36301731040838e-17
"1798","Tmeff1",0.818880670466353,8.96224263441934,1.59070435763381e-19,4.98155581332322e-17
"1166","Cd99l2",0.78653311215724,8.60054967382402,3.96676004664228e-18,1.19256674042254e-15
"1451","Glrb",0.784786769537899,8.58102301199169,4.70165330967917e-18,1.35913947213649e-15
"2747","E330009J07Rik",0.78035804736057,8.53150342783436,7.22289665915249e-18,2.01064041815519e-15
"4447","Exoc5",0.772311833374953,8.44153500022599,1.56598555108479e-17,4.20355264355476e-15
"2463","Wsb2",0.742799168012771,8.11154028446103,2.49910422167433e-16,6.47698873451871e-14
"1111","Syn1",0.736575340457793,8.04194879959274,4.42104192143539e-16,1.10761836938361e-13
"1155","Rbmx",0.713740637315487,7.78662345772516,3.44118344526967e-15,8.34320476601511e-13
"6350","Tef",0.710528474446453,7.75070678398696,4.56912382487258e-15,1.07317295836695e-12
"6172","Gm10250",0.708291228814728,7.72569110928334,5.56240495843286e-15,1.26687986871459e-12
"4338","Pgbd5",0.702293368732333,7.65862627088944,9.39662042174139e-15,2.0772058555826e-12
"22","Terf1",0.694470039144401,7.57115001647381,1.84967272971347e-14,3.97204006757898e-12
"2346","Adgrl3",0.688237691791564,7.50146326781833,3.15546580294728e-14,6.58791138193105e-12
"195","Atg16l1",0.685501888826433,7.47087299375165,3.98322587963045e-14,8.09133127332499e-12
"5113","Fbxw11",0.672787917122475,7.3287122154145,1.16187386612167e-13,2.29806420467644e-11
"4986","Rps27rt",0.670353667944655,7.30149375324994,1.42295146645718e-13,2.74228287740825e-11
"3852","Vezt",0.658485043951801,7.16878519734764,3.78330842381028e-13,7.10883652833951e-11
"6707","Tmem181a",0.6547627170809,7.12716414473607,5.12289409816763e-13,9.39113952239704e-11
"2261","Add1",0.653712285895726,7.11541878944104,5.5786763593888e-13,9.98317417075387e-11
"6628","Cd200",0.648756777720235,7.06000896820755,8.32459293137408e-13,1.45506140633041e-10
"5323","Taok1",0.631479211580407,6.86682053681873,3.28242851164962e-12,5.60698470308148e-10
"1169","Gabra3",0.616581136162974,6.70023828806255,1.04039974422887e-11,1.72068629496353e-09
"544","Sptan1",0.616422459151599,6.69846404725358,1.05310763129753e-11,1.72068629496353e-09
"4761","Csk",0.608314727080498,6.60780775757363,1.95026365501339e-11,3.1187620491661e-09
"4647","Pigyl",0.60741314488142,6.59772675140654,2.08754922685414e-11,3.26875416438244e-09
"6439","Smarcd1",0.603792878242518,6.55724688129529,2.74051163398712e-11,4.20360927368311e-09
"3666","Nus1",0.602947437670403,6.54779362053868,2.91966684801108e-11,4.38884320593025e-09
"5863","Mrps36",0.595698919903477,6.46674460206273,5.00683400162776e-11,7.37869889337926e-09
"3397","Trim3",0.586905632286732,6.36842279980879,9.54909285376643e-11,1.38021119017132e-08
"1685","St6galnac3",0.582705542818229,6.32145966336086,1.29552008436876e-10,1.83719414228597e-08
"4935","Rbm5",0.573916765060418,6.22318828791855,2.43576077696846e-10,3.39021814809166e-08
"3614","Arfgef3",0.572588099816073,6.20833186935134,2.67749860942935e-10,3.65892355426746e-08
"758","Lpcat4",0.561559839845098,6.08501981095733,5.82384536257141e-10,7.81643245447978e-08
"5358","Ap2b1",0.556090315309488,6.02386253585704,8.51515120548234e-10,1.12280485018255e-07
"885","Dstn",0.547490822320202,5.92770764066553,1.53596393535512e-09,1.99039740312571e-07
"4274","Phlpp2",0.526482232460896,5.69280091319225,6.2486038953983e-09,7.96008591149383e-07
"5765","Tmed9",0.523293331088081,5.65714433696606,7.69561614162818e-09,9.64004182007956e-07
"4807","Herc1",0.522960821215351,5.65342639080316,7.8640242556878e-09,9.68950923045074e-07
"5027","Osbp2",0.521813877640211,5.64060188598693,8.47283801583416e-09,1.02712662140338e-06
"1127","Tmem255a",0.521084015938817,5.63244096586184,8.88383370309874e-09,1.05985546210302e-06
"4424","Mapk8",0.520409264344879,5.62489625725213,9.28097470052948e-09,1.08993446639343e-06
"425","Rab3gap2",0.516877515119162,5.58540614114127,1.16577341864195e-08,1.32929722609507e-06
