"","gene","distance","Z","p.value","p.adj"
"3860","Atp2b1",0.00058559653207498,20.2668383978189,1.26178788927973e-91,9.48359777582644e-88
"3007","Ptpro",0.000504600748030231,17.4045844283135,3.80783272903848e-68,1.43098353957266e-64
"454","Celf2",0.00045572815441978,15.677509658789,1.07770288740273e-55,2.70000496723963e-52
"7504","mt-Co2",0.000437054510568671,15.0176146794597,2.81487016959321e-51,5.28914104866563e-48
"7513","mt-Cytb",0.00043352414536277,14.8928575461896,1.83376738874801e-50,2.75651913876601e-47
"1450","Gria2",0.000430298423197056,14.778865982527,1.00256908335401e-49,1.25588487174813e-46
"7507","mt-Co3",0.000407727701355807,13.9812548605823,1.01439505378208e-44,1.08917046060373e-41
"7352","Fth1",0.000387505571010301,13.2666389884611,1.80715621048094e-40,1.69782325974684e-37
"7503","mt-Co1",0.000383892276271749,13.1389512658174,9.8468609923012e-40,8.22322302423731e-37
"2028","Rsrp1",0.000380086455792715,13.0044600092439,5.77056221797417e-39,4.33715456302938e-36
"7506","mt-Atp6",0.000376734130972253,12.8859945219645,2.69875978362694e-38,1.84398895761273e-35
"7298","Malat1",0.000375092802479139,12.8279927500193,5.7143413879776e-38,3.57908248933664e-35
"5024","Inpp5j",0.0003492503793891,11.9147652414093,4.95725190511851e-33,2.86605425529775e-30
"7502","mt-Nd2",0.00034271188758786,11.6837060037787,7.72066308644682e-32,4.14489312555245e-29
"7501","mt-Nd1",0.000341053868593577,11.6251144177613,1.53590767195971e-31,7.69592137496611e-29
"6597","Rpl35a",0.000334558238758992,11.3955698495131,2.19971044981358e-30,1.03331398379993e-27
"7034","Calm2",0.000330450271088582,11.250401222406,1.15270477344712e-29,5.09631122189914e-27
"4129","Unc13a",0.000324593748976999,11.0434416397676,1.17911928813992e-28,4.92347809425537e-26
"4226","Ndrg4",0.000324002949578363,11.0225637886069,1.48731964785408e-28,5.88352340698488e-26
"6091","Nrxn3",0.000268035686737984,9.04477541213142,7.49865715748688e-20,2.81799535978357e-17
"1912","Rps8",0.00026611124633561,8.97676894431663,1.39417317323302e-19,4.98981217619971e-17
"1562","Atp1a1",0.000264622557769695,8.92416120914374,2.24544688619977e-19,7.67126308939885e-17
"7510","mt-Nd4",0.000259459102089502,8.74169342157554,1.14820976811367e-18,3.75214983354017e-16
"3128","Rps19",0.000257460634740592,8.67107096671809,2.14037397511511e-18,6.70293783206882e-16
"5099","Rps27a",0.000246702618228969,8.2909008649337,5.619696625659e-17,1.68950559353812e-14
"6129","Meg3",0.000244235908510032,8.20373151694956,1.16519114193484e-16,3.36829870107009e-14
"2494","Atp2a2",0.000228947071973271,7.66344990127574,9.05019472713885e-15,2.51930605811762e-12
"3673","Serinc1",0.000220740314416439,7.37343697441979,8.31421589932479e-14,2.23177309640447e-11
"5829","Rps23",0.000214497393893673,7.15282272568651,4.25056809613782e-13,1.10162999346799e-10
"769","Meis2",0.000207497660233645,6.90546398115201,2.50198021482666e-12,6.26829443154571e-10
"346","Atp1b1",0.000207206380509751,6.89517064853251,2.69000902671908e-12,6.52197027252279e-10
"5224","Ubb",0.000202327031731497,6.7227427181918,8.91676595982632e-12,2.09432540481421e-09
"4325","Rpl13",0.000199322503045097,6.61656775784582,1.83817203798327e-11,4.18657607196433e-09
"7179","Rps14",0.000198454808963834,6.58590491708564,2.26061554659697e-11,4.99729013183024e-09
"3166","Rps16",0.000196083075590559,6.50209187246451,3.96053484780296e-11,8.50496569031058e-09
"1643","Rpl34",0.000194537323175973,6.44746759742723,5.68672385845227e-11,1.18726157000354e-08
"139","Rpl37a",0.000192357708990647,6.37044371985734,9.42410493597996e-11,1.91436682969798e-08
"1226","Ogt",0.000186999187541616,6.18108263805468,3.18317388751741e-10,6.2959828785739e-08
"358","Pbx1",0.000184621684531754,6.09706570423835,5.40165618223488e-10,1.04099609911993e-07
"5826","Cox7c",0.000184176503904166,6.08133377407076,5.95934442239321e-10,1.11976081696768e-07
"3343","Grm5",0.000178593642365164,5.88404489305469,2.00179583562732e-09,3.6696335367256e-07
