"","gene","distance","Z","p.value","p.adj"
"6101","Ttc7b",1.36084770133148,22.2618598671061,4.32900063005954e-110,3.25367687355275e-106
"1462","Hdgf",1.27481198493261,20.8399276374753,9.40614631604655e-97,3.53482978557029e-93
"7476","Smc3",1.10805202269202,18.0838470834114,2.13604639142888e-73,5.35150822599317e-70
"3252","Lin7b",1.06587322459146,17.3867483093601,5.1983954826345e-68,9.76778511187023e-65
"734","B230118H07Rik",1.05427664603834,17.1950889673064,1.44506959679629e-66,2.17222861790418e-63
"40","Khdrbs2",0.857447982228379,13.9420560119116,1.75830936986185e-44,2.2025755373136e-41
"6025","Pcnxl4",0.700543094660748,11.3488525615603,3.7571151903124e-30,4.03406825291257e-27
"833","Kcnip3",0.651398979112408,10.5366363713573,2.92779487203528e-26,2.75066328227715e-23
"4429","Grid1",0.646651418738961,10.458172340491,6.72117475019503e-26,5.61292771360731e-23
"6150","Tmem179",0.631895104629538,10.2142913164119,8.55625060350814e-25,6.43087795359672e-22
"6761","Rps2",0.60681307539076,9.79975480469372,5.64296347646284e-23,3.85568304446315e-20
"5358","Ap2b1",0.560457680956961,9.03362845482902,8.30359246305711e-20,5.2008167460281e-17
"4981","Ubp1",0.558292951815042,8.99785147447536,1.15088966662791e-19,6.65391287259646e-17
"1974","Csmd2",0.557232185824236,8.98031994903968,1.34990258844271e-19,7.24704846766812e-17
"2225","Slc30a3",0.545016136194913,8.77842246490446,8.2891756677965e-19,4.15342962127723e-16
"6839","Akap8l",0.518857969979401,8.34610038790296,3.5276921669838e-17,1.65713339544064e-14
"1146","Phf6",0.516151574968321,8.30137117016127,5.14583061287297e-17,2.27506252272666e-14
"4291","Vat1l",0.504691780644392,8.1119724927726,2.49022885188667e-16,1.03980889171001e-13
"5074","Actr2",0.502252700310777,8.07166124667397,3.46740292821091e-16,1.37163160044385e-13
"5140","Mapk9",0.496914777942237,7.98344016625774,7.11551553413444e-16,2.67401073772772e-13
"1767","Dctn3",0.496157861731287,7.97093043657187,7.87420714583968e-16,2.81821623372052e-13
"242","Ddx18",0.486124989927784,7.80511483846591,2.97236941633173e-15,9.93469782798898e-13
"6043","Fut8",0.485952894808418,7.80227058253324,3.04015500324303e-15,9.93469782798898e-13
"2185","Srpk2",0.483245157311081,7.75751917720998,4.33033928959343e-15,1.35611792085768e-12
"6131","Mirg",0.48262944889998,7.74734322156685,4.69175387565922e-15,1.41052888517819e-12
"973","Chd6",0.481768844909618,7.73311981991385,5.24712190322367e-15,1.51682185479343e-12
"5031","Mtfp1",0.48147205774462,7.72821474963705,5.45326237885265e-15,1.51802666812802e-12
"4062","Wdr17",0.464535512251981,7.44830053606859,4.72751213140674e-14,1.26899932784475e-11
"1787","Grhpr",0.449403782797087,7.19821493554643,3.05029637634766e-13,7.90552674642379e-11
"2047","Eif4g3",0.445505434180895,7.13378602425568,4.88225446397396e-13,1.22316748504094e-10
"1156","Fgf13",0.440592482141247,7.05258852698119,8.78098038448433e-13,2.12896285708981e-10
"2024","Stmn1",0.434198349100304,6.94691120793253,1.86685264339162e-12,4.38477014616607e-10
"1738","Rragd",0.43284157828612,6.92448754216137,2.18778270708422e-12,4.90145347676252e-10
"2464","Ksr2",0.432726909258579,6.92259238056075,2.21726208368714e-12,4.90145347676252e-10
