"","gene","distance","Z","p.value","p.adj"
"677","Atf2",0.0152459283845436,17.9323771894926,3.29504076857965e-72,2.47655264166447e-68
"5683","Fam65b",0.0150972343279173,17.7562002715278,7.71678070665427e-71,2.89996618956067e-67
"1146","Phf6",0.0148972576820538,17.5192622934237,5.10706177795806e-69,1.27948921077109e-65
"5125","Gabrg2",0.0130448730249535,15.3245046334513,2.62264487833362e-53,4.92794972638886e-50
"6025","Pcnxl4",0.0129823997473268,15.2504845296413,8.17079773423064e-53,1.22823431540955e-49
"4981","Ubp1",0.0129576272617489,15.2211333890613,1.28028156998122e-52,1.60376604666314e-49
"6043","Fut8",0.0125318771160257,14.7166925916392,2.51849906972691e-49,2.70414842972393e-46
"3939","Pa2g4",0.0119789898270557,14.0616161160719,3.26879987692322e-45,3.07103748436936e-42
"5972","Nova1",0.0117574115613209,13.799083928634,1.29055861085738e-43,1.07775983546711e-40
"2942","Hnrnpf",0.0116566043226516,13.6796446650869,6.717380163757e-43,5.04878293107976e-40
"67","Pdcl3",0.0110769786061936,12.992887745439,6.71318580660294e-39,4.58693677476615e-36
"980","Serinc3",0.0110205476375696,12.9260267399925,1.6049144299297e-38,1.00521140461263e-35
"480","Abi1",0.0101801479829939,11.9302974932359,4.11394625825807e-33,2.37849385208213e-30
"2405","Gak",0.0100654061765755,11.7943481602555,2.08710061565952e-32,1.12047487337835e-29
"5140","Mapk9",0.00941771860204865,11.0269496288474,1.41655980384453e-28,7.09790899046365e-26
"3704","Jmjd1c",0.00915838453743381,10.7196833045321,4.11422967383783e-27,1.93265938928532e-24
"2196","Agap3",0.00905511709305612,10.5973291197763,1.53305921530259e-26,6.7779253307143e-24
"3692","Hk1",0.00873758529552713,10.2211084777837,7.97531693618591e-25,3.33013789402074e-22
"6150","Tmem179",0.00867934738624805,10.1521065580144,1.62143393657067e-24,6.41405129856062e-22
"1974","Csmd2",0.00845159987313404,9.88226487203917,2.48483798686368e-23,9.33802115463369e-21
"2513","Abcb9",0.00842243428115721,9.8477086549201,3.50621973098954e-23,1.25489273800559e-20
"3911","Cdk4",0.00780639578829089,9.11780884935128,3.83292384716385e-20,1.30946616524016e-17
"4975","Epm2aip1",0.00756354231840432,8.83006919914344,5.23054916307391e-19,1.70925250042015e-16
"1414","Exosc8",0.00754404870600013,8.80697261659475,6.4285543013407e-19,2.01320892203653e-16
"5628","Rfng",0.00753181857465692,8.79248201155487,7.31458091140387e-19,2.19905560520446e-16
"474","Pip4k2a",0.00738108021248689,8.61388294264321,3.53134031127335e-18,1.0208289915204e-15
"3495","Zfp771",0.0073761017914636,8.60798436880567,3.71781967261312e-18,1.03493083923556e-15
"1127","Tmem255a",0.00735617076449327,8.5843695251248,4.56679719728259e-18,1.22585884767057e-15
"4543","Fndc3a",0.00734944163275556,8.57639665978623,4.89457712118686e-18,1.2685393669945e-15
"631","Gpd2",0.00726904722410636,8.48114309378121,1.11496081134202e-17,2.79334848601553e-15
"4252","Psmb10",0.00719042019866728,8.38798357332103,2.4727564789418e-17,5.9952379663634e-15
"4493","Mphosph8",0.00716134135842527,8.35353014210757,3.31262478204732e-17,7.78052745683365e-15
"7431","Cnnm1",0.00707661958981849,8.25314939780407,7.71369987068264e-17,1.7568535826682e-14
"5048","Urgcp",0.00706899027963664,8.24410997562049,8.31970332292133e-17,1.83914382867873e-14
"2221","Tmem214",0.00699196443582198,8.15284758037224,1.77726749327699e-16,3.81655499413425e-14
"5174","Cdc42se2",0.00696378591175618,8.11946086919264,2.34129565080735e-16,4.88810503096335e-14
"1420","Rnf13",0.00693783160857813,8.08870947774113,3.01501046825444e-16,6.12454558902712e-14
"3308","Chd2",0.0068185167345727,7.94734184512319,9.52780235542942e-16,1.88449901324757e-13
"5091","Pex13",0.00679689722514662,7.92172643973973,1.171176036702e-15,2.25706643380827e-13
"242","Ddx18",0.00672300758696554,7.83417990950428,2.35956329311036e-15,4.43361942775436e-13
"1168","Vma21",0.00656519341267679,7.64719721854708,1.02703584876293e-14,1.88273205836638e-12
"854","Cenpb",0.00636027238741576,7.40440100008504,6.58718837204416e-14,1.17879304295914e-11
"4025","Ppp2cb",0.00627881506890955,7.30788806846091,1.35686846368967e-13,2.37167985420735e-11
"6504","Snn",0.00621786913818167,7.23567760839451,2.31605248712115e-13,3.95623874845512e-11
"5966","Ifrd1",0.00617939111588273,7.1900877608121,3.23748445870267e-13,5.40731848702427e-11
"4198","Papd5",0.00615554981927692,7.16183991922656,3.98006726970951e-13,6.50308382589928e-11
"887","Snx5",0.00612277456668957,7.1230068742659,5.27987756243405e-13,8.29101182348791e-11
"4778","Lrrc49",0.00612244304853729,7.12261408219577,5.29495167013597e-13,8.29101182348791e-11
"5631","Fasn",0.00605823741261351,7.04654143134705,9.17097649607701e-13,1.40671549682683e-10
"5686","Tdp2",0.00605331642416982,7.04071090525192,9.56307338260347e-13,1.43752119087295e-10
"1631","Prss12",0.00595003544020798,6.9183406784144,2.28482159221952e-12,3.3671998210043e-10
"895","Ralgapa2",0.00587062350447867,6.82425117407355,4.41925619423526e-12,6.38752491459081e-10
"6819","Mapk14",0.00582039031205074,6.76473346891255,6.67774161753540e-12,9.46979358441436e-10
"4274","Phlpp2",0.00579767299856126,6.7378173542687,8.03917475646537e-12,1.1189340272147e-09
"4747","Rcn2",0.00578369455867409,6.72125530388719,9.00827983024708e-12,1.22786419349673e-09
"1287","Acsl4",0.00578179456437815,6.71900413698244,9.1485357684695e-12,1.22786419349673e-09
"5292","Camkk1",0.00577733459481318,6.71371983907572,9.4862211000336e-12,1.2508497857518e-09
