"","gene","distance","Z","p.value","p.adj"
"2652","HIST1H2AC",0.517910360876209,37.7177717746512,0,0
"4927","SAR1A",0.925556690965951,67.4851648333737,0,0
"1030","SERTAD2",0.267318374042675,19.4188944910072,2.67138378492116e-84,7.52795950590784e-81
"6056","SCG5",0.199351169245173,14.4557527895609,1.1529738581966e-47,2.43681024929851e-44
"7018","DBF4B",0.167024154561817,12.0951502734467,5.60185299368413e-34,9.47161304172113e-31
"171","AHDC1",0.165289742205807,11.9684989815882,2.59800612713461e-33,3.66059063313266e-30
"4903","UBE2D1",0.162997683843433,11.8011269309891,1.9255951172674e-32,2.32556873162551e-29
"8025","KDELR1",0.152936595193279,11.0664401244579,9.12536909883073e-29,9.64323379518937e-26
"7090","PTRH2",0.149712909998941,10.8310382645754,1.22678661073737e-27,1.15236155635263e-24
"6510","ALDOA",0.133147868790382,9.62141596138775,3.24655473997886e-22,2.74463737717813e-19
"5707","COMMD6",0.124753067330232,9.00840577027627,1.04536758427728e-19,8.03412505225468e-17
"3002","TBP",0.115259414093647,8.31515457040789,4.58163811058779e-17,3.2277640489091e-14
"3772","SDCBP",0.101933859741257,7.34208800546266,1.05143520351165e-13,6.83756400806732e-11
"5788","PABPN1",0.0994048770733272,7.15741512714093,4.11062282307791e-13,2.48222895330719e-10
"5419","CEP290",0.0908714054325979,6.53427887952862,3.19583746996278e-11,1.80117399807102e-08
"7024","HEXIM1",0.0888984442137619,6.3902081305591,8.28300591762727e-11,4.37653325172631e-08
"2123","EXOSC9",0.0835284807675122,5.99807946211187,9.98324092065909e-10,4.96460698489717e-07
"6789","RNASEK",0.0827075691123089,5.93813436239383,1.44141870767924e-09,6.76986319706685e-07
"3863","EIF3H",0.0819861088921083,5.88545146458334,1.98484436292024e-09,8.83151276006721e-07
"669","METTL13",0.0797965885097645,5.72556700342073,5.15444238992185e-09,2.17878279821997e-06
"8047","RPS11",0.0767560387992248,5.50353817188852,1.86121943251875e-08,7.49273765833978e-06
"5181","C12orf57",0.0755525085017457,5.41565326583464,3.0532668729224e-08,1.17328718834936e-05
"241","GNL2",0.0745291023553965,5.34092149280389,4.62376502214043e-08,1.69953519552936e-05
"2937","CITED2",0.0721548367230845,5.16754645398705,1.18593513079433e-07,4.17745649822304e-05
"2398","PPIC",0.0701186582648028,5.01885941811449,2.59895846372543e-07,8.7886379409339e-05
"448","SARS",0.069298189196155,4.95894663721545,3.54382153664636e-07,0.00011522872027234
"8120","TRAPPC2P1",0.0686674203729992,4.91288626060434,4.48726721639905e-07,0.000140501322397917
"768","NENF",0.0619828490173926,4.42476151058485,4.82744419066734e-06,0.00145754332813935
"7383","PRNP",0.0579939923224025,4.13348484174167,1.78651935815417e-05,0.00520801194959838
"4667","SERPINH1",0.0499730054274229,3.54777156040499,0.00019425251066992,0.0547403575067836
"4639","CCND1",0.0497055536648645,3.5282415385388,0.000209165125243451,0.0570413538325204
"1719","FSTL1",0.0495677822331449,3.51818111101242,0.000217257850305832,0.0573968083276719
"3460","TIMP1",0.0486311633210995,3.44978676708456,0.000280514754017474,0.071862779711022
"245","C1orf122",0.0484247639877043,3.43471495205588,0.000296588711007796,0.0737459106723501
"6","ISG15",0.0482546233257118,3.42229083932148,0.000310479264728695,0.0749940486861824
"6433","SOCS1",0.0473343330776394,3.35508885681755,0.000396697478009661,0.0931577910859355
"125","HSPG2",0.0461470532781207,3.2683906043025,0.000540804905563586,0.12356661274688
"7787","BRD4",0.043836121634838,3.09964037774633,0.000968778689129927,0.215527764155379
"2810","TMEM14A",0.0386837247426984,2.72339898376863,0.00323069860923026,0.540378371927263
"6573","HERPUD1",0.0379200453861717,2.66763313504491,0.00381938088971532,0.540378371927263
"2098","AIMP1",0.0374518219892736,2.63344224734162,0.00422621045526636,0.540378371927263
"2979","DYNLT1",0.0373422146986605,2.62543843849815,0.00432687280119716,0.540378371927263
"8233","MYH9",0.0371221082375104,2.60936569342431,0.00453551230882764,0.540378371927263
"8321","FBLN1",0.0348070187460316,2.44031185000127,0.00733729396894494,0.540378371927263
"5935","NPC2",0.0346005758989003,2.42523685748664,0.00764920095908364,0.540378371927263
"4542","SF1",0.0331466482232482,2.31906728497862,0.0101956941491046,0.540378371927263
"6165","RPS27L",0.0322632305457906,2.2545578332828,0.0120805483552894,0.540378371927263
"2237","ZNF622",0.0313865121100949,2.19053757760814,0.0142426363131929,0.540378371927263
"6163","TPM1",0.0308415124536967,2.15074028816534,0.0157483522537366,0.540378371927263
"7693","RPS28",0.0306945974235735,2.14001217135157,0.0161768915640264,0.540378371927263
"3289","CBLL1",0.0297028617983904,2.06759306197638,0.0193391525204051,0.540378371927263
"3731","WHSC1L1",0.0294125171174812,2.04639133979423,0.0203589417215359,0.540378371927263
"6533","VKORC1",0.0292090013064583,2.03153008705328,0.0211006253263452,0.540378371927263
"1883","LRRC15",0.0281130879913179,1.9515036523669,0.0254985810795123,0.540378371927263
"660","DPT",0.0279831739231435,1.94201698992018,0.0260675217691371,0.540378371927263
"2027","IGFBP7",0.0276366359646271,1.91671188875895,0.0276372720242202,0.540378371927263
"2494","PDGFRB",0.0275405920515793,1.90969851294869,0.0280860212809912,0.540378371927263
"1626","NT5DC2",0.0271262962770114,1.87944556019571,0.0300918401622749,0.540378371927263
"5426","LUM",0.0270243502498217,1.87200119669203,0.0306032189759948,0.540378371927263
"186","YTHDF2",0.0262369023503343,1.81449970727067,0.0348004138824664,0.540378371927263
"2453","PAIP2",0.026025469610993,1.79906033987573,0.0360045681918716,0.540378371927263
"5973","FBLN5",0.0258996705067959,1.78987416277892,0.0367370716475122,0.540378371927263
"1132","MITD1",0.0256659534348603,1.77280753557954,0.0381303021606147,0.540378371927263
"7923","ZFP36",0.0248723295767873,1.71485506163272,0.0431859017365657,0.540378371927263
"1402","GIGYF2",0.0242965765968368,1.67281208468468,0.0471821475536335,0.540378371927263
"8005","PTGIR",0.0234823874495024,1.61335787993932,0.0533333892134516,0.540378371927263
"4274","EDF1",0.0229268951490721,1.57279439039592,0.0578832174935791,0.540378371927263
