"","gene","distance","Z","p.value","p.adj"
"6208","RPLP1",0.0076859772183522,22.4728549862052,3.82557106716439e-112,3.23413778018077e-108
"2923","RPS12",0.00674158624262683,19.6952783361108,1.18346268114805e-86,5.00249675321279e-83
"6715","RPL13",0.00628403901658352,18.3495724536533,1.66360068858542e-75,4.68802674043371e-72
"2724","RPS18",0.00543328096178154,15.8473823982234,7.32798090577086e-57,1.54876876443467e-53
"7952","RPS19",0.00538098568086573,15.6935751775749,8.3679126881142e-56,1.41484667730635e-52
"4666","RPS3",0.00533828005291084,15.5679723731389,6.0078057444594e-55,8.4649982939433e-52
"2497","RPS14",0.00519985791472312,15.1608548669694,3.21139391939783e-52,3.87844631351275e-49
"7816","RPL18A",0.00510961063743672,14.8954258904453,1.76464287105711e-50,1.8647863539896e-47
"8442","MT-CO1",0.00507373043919343,14.7898975622391,8.51063287112705e-50,7.99432114361201e-47
"292","RPS8",0.00494739575226213,14.418330821835,1.98411875980927e-47,1.67737399954276e-44
"6456","RPS15A",0.00489099354382221,14.252444593352,2.16429596982931e-46,1.66335982990336e-43
"6365","RPS2",0.00478265699262184,13.9338127102648,1.973547827634e-44,1.39036444456815e-41
"8046","RPL13A",0.00477058455680713,13.8983061068658,3.24290860068727e-44,2.10888840847771e-41
"1469","RPL32",0.00475611921772414,13.8557616638275,5.87024338658418e-44,3.54478839929876e-41
"5675","TPT1",0.00457270501735303,13.3163166528719,9.30315485823034e-41,5.24325807809862e-38
"1340","EEF1B2",0.00456459040041781,13.2924505093963,1.2802648187966e-40,6.76459923631653e-38
"4359","RPL27A",0.00450043918357248,13.1037734396605,1.56643027210518e-39,7.78976560022188e-37
"3966","RPS6",0.00443633405262573,12.9152319145447,1.84664804665844e-38,8.67309032580581e-36
"7925","RPS16",0.00436695418007191,12.7111766885362,2.56286478817119e-37,1.14033994311575e-34
"4242","RPL7A",0.0043013295145287,12.518166014601,2.96958158133136e-36,1.25524213442877e-33
"8092","RPS9",0.00429803926939182,12.5084889758531,3.35441295351436e-36,1.35039081471478e-33
"8129","RPS5",0.00427739927275913,12.4477840621271,7.18909516898257e-36,2.76257320720812e-33
"8446","MT-CO3",0.00425666902590729,12.3868137107722,1.5402052804387e-35,5.66125888731687e-33
"4169","RPL12",0.00420197924325556,12.2259639491833,1.12943075832571e-34,3.97841984620231e-32
"8100","RPL28",0.00419129509548372,12.1945404814247,1.66186810198296e-34,5.61977317366556e-32
"8430","COL6A1",0.00406699221777162,11.8289495561117,1.38290648412679e-32,4.49657362184918e-30
"134","RPL11",0.00396857141011371,11.5394811640359,4.17134501456733e-31,1.30609447233897e-28
"3513","RPS4X",0.00391317740311352,11.3765601870744,2.73577765522588e-30,8.26009439188557e-28
"3938","RPL8",0.00377937225430288,10.9830218469675,2.30616080297631e-28,6.72285635460748e-26
"6942","RPL19",0.00376045045112647,10.9273703635974,4.26420457792963e-28,1.20165285006057e-25
"2747","RPL10A",0.00360340195988176,10.4654703312736,6.22284560817953e-26,1.69703021843709e-23
"5514","RPL6",0.00340091255123523,9.8699226526058,2.81039679494213e-23,7.42471703263775e-21
"2102","RPL34",0.00338566883165455,9.82508889131813,4.38982701446454e-23,1.12459386606919e-20
"4759","RPS25",0.00328206069076828,9.52036387775651,8.62868587532936e-22,2.14549736441278e-19
"2348","RPS23",0.0032355000714387,9.38342304245844,3.19324669946575e-21,7.71305931350956e-19
"2155","RPS3A",0.00322022675572634,9.33850223509942,4.8853218358055e-21,1.14723641110832e-18
"1912","RPL35A",0.00313558751790172,9.08956723179437,4.97170234157739e-20,1.13596679988366e-17
"7179","TIMP2",0.00312280828917177,9.05198185853382,7.0198316174622e-20,1.56172780247435e-17
"566","RPS27",0.00310556589360939,9.00126973131451,1.11561015528694e-19,2.41829955199892e-17
"3395","SLC25A6",0.00309694546576203,8.97591593218037,1.4050196180323e-19,2.96950896271127e-17
"6109","SERF2",0.00296507996560654,8.588082350963,4.42164392279588e-18,9.11721407885765e-16
"8270","RPL3",0.00292351720883561,8.46584087927611,1.27155584102987e-17,2.53953723569764e-15
"3629","RPL10",0.00292289441947342,8.46400917478633,1.29169743476459e-17,2.53953723569764e-15
"6821","RPL26",0.0028819719192349,8.34365078080793,3.60157485894766e-17,6.91993496762353e-15
"4252","COL5A1",0.00285063764942215,8.25149261918128,7.82141497695082e-17,1.46938316033649e-14
"7061","COL1A1",0.00283681777042304,8.21084655817294,1.09817206717609e-16,2.01824927302318e-14
"4304","IFITM3",0.00271754322194095,7.86004460291289,1.91998350297794e-15,3.45351926259054e-13
"1495","RPL15",0.00265824373867627,7.68563711246422,7.61187312336376e-15,1.34064115385244e-12
"3908","EEF1D",0.00250046894783066,7.22160093858008,2.56895313906331e-13,4.43223057911045e-11
"2830","EEF1A1",0.0024728375461132,7.14033339347161,4.65524094979436e-13,7.8710813979123e-11
"6193","RPL4",0.00246178867045641,7.10783721358117,5.893773528642e-13,9.76979635512539e-11
"2592","GNB2L1",0.00245009678112183,7.07344984685915,7.55642799229128e-13,1.22850081243905e-10
"923","OST4",0.00234228663019209,6.75636617541089,7.07477744271634e-12,1.12849374529668e-09
"3831","RPL30",0.00231446608721566,6.67454234126749,1.24002435626648e-11,1.94132701997719e-09
"4563","NEAT1",0.00231116886410908,6.66484477940339,1.32472610785135e-11,2.03622445741369e-09
"1006","RPS27A",0.00229126644396474,6.60630917402999,1.97009792112049e-11,2.97414425449154e-09
"4737","NNMT",0.00224474621807081,6.46948714107816,4.91680490058477e-11,7.2923980051831e-09
"1991","RPL9",0.00210977231996129,6.07251135732157,6.29625947238887e-10,9.17734096199578e-08
"4185","C9orf16",0.00201050998583019,5.78056792647224,3.72244353341942e-09,5.33381993754708e-07
"5427","DCN",0.00188453233041197,5.41005126216959,3.1503355490517e-08,4.43882278861384e-06
"3793","RPL7",0.00179179978335058,5.13731278410053,1.39347440780647e-07,1.93121846616326e-05
"7645","EEF2",0.00174045235552493,4.98629332263076,3.07743400059655e-07,4.1962301679102e-05
"4966","RPS24",0.00173882921212653,4.98151944685364,3.15434714849491e-07,4.23283345926603e-05
"8273","ATF4",0.00170846795175777,4.89222303251325,4.98516835769475e-07,6.58509582749241e-05
"4388","RPS13",0.00161217178368909,4.60900348171681,2.02301779117822e-06,0.000263116806255703
"7547","GNAS",0.00152710657091816,4.35881563070907,6.53841098626289e-06,0.000837511007240401
"1352","FN1",0.00151905637012916,4.33513894349494,7.28340421361768e-06,0.000919013421222745
"2699","C6orf48",0.00144558392843168,4.11904693951575,1.90221325339601e-05,0.00236489865356028
"2833","COL12A1",0.00143693773087809,4.09361734832497,2.12347490307991e-05,0.00260171838125182
"3218","COL1A2",0.00143499493414035,4.08790333051527,2.17644728491278e-05,0.00262852647809323
"6071","THBS1",0.00129631894455179,3.68003921436986,0.000116599044797016,0.0138834975311827
"7518","ZFAS1",0.00120625421865365,3.4151471452142,0.000318737820463533,0.0374251324194265
"7412","CST3",0.00102680610752123,2.88736691838375,0.00194240453915056,0.22494641060245
"8036","FTL",0.00101835573789046,2.8625132825757,0.00210147821819343,0.240079687251449
"413","RPL5",0.000971014449209813,2.7232763972129,0.00323189773736753,0.364299512956068
"5301","PFDN5",0.000933720445121027,2.6135898821909,0.00447982567287511,0.498321661032713
"5111","HTRA1",0.00091465459959132,2.55751475153122,0.00527115432550851,0.552746458549913
"2438","TGFBI",0.000886826146014863,2.4756676512846,0.00664936541146707,0.552746458549913
"6564","MMP2",0.000841828076150878,2.34332247712881,0.00955642769121132,0.552746458549913
"7826","UBA52",0.000798467132962968,2.21579230538792,0.0133528648420012,0.552746458549913
"7449","MMP24-AS1",0.000754380012327163,2.08612635135458,0.0184835896463096,0.552746458549913
"4975","PLAC9",0.000747057720862792,2.06459054010754,0.0194808795480401,0.552746458549913
"6203","ITGA11",0.000724601006402258,1.99854242303875,0.0228289427261609,0.552746458549913
"4498","FTH1",0.000658281453815644,1.80348799595912,0.0356558044943344,0.552746458549913
"1138","RPL31",0.000640979168943205,1.75259972649206,0.0398353691342942,0.552746458549913
"6795","GABARAP",0.000636039429414034,1.7380713102678,0.0410991247028772,0.552746458549913
"4841","VIM",0.000610899373076281,1.66413113584781,0.0480431130462421,0.552746458549913
"6058","GREM1",0.000604493533862677,1.64529072982815,0.0499549353183627,0.552746458549913
"7452","ERGIC3",0.000583351728499098,1.58310993137906,0.0566982051949362,0.552746458549913
"8216","SELM",0.000582523852713937,1.58067504105382,0.0569761790082355,0.552746458549913
"4934","PSAP",0.000566802441907592,1.53443632776169,0.0624611731166244,0.552746458549913
"3433","SAT1",0.000509071746615824,1.36464284671643,0.0861826655259842,0.552746458549913
"8449","MT-ND4",0.000452505248469065,1.19827342084452,0.115405295219672,0.552746458549913
"8440","MT-ND1",0.000447783968529145,1.18438752267654,0.118129848534629,0.552746458549913
"6490","NUPR1",0.000414892689780447,1.08764999532569,0.138374825357454,0.552746458549913
"3130","IGFBP3",0.0003638349212252,0.937482459431933,0.174255221139988,0.552746458549913
"1528","RPSA",0.000353366520279898,0.906693531141756,0.182284442604134,0.552746458549913
"814","GUK1",0.00031464680864541,0.79281382485619,0.213943150305828,0.552746458549913
"1616","RPL29",0.000287238540678748,0.712202545120847,0.238169680574671,0.552746458549913
"6886","RPL23A",0.00028637500666018,0.709662779294839,0.238956639353975,0.552746458549913
"7665","RPL36",0.000284320698030214,0.703620790511225,0.240834480190736,0.552746458549913
"8443","MT-CO2",0.000276739609767075,0.681323824230044,0.247833305800048,0.552746458549913
"7813","PGLS",0.000263336080081853,0.641902300687928,0.260468310166056,0.552746458549913
"2506","SPARC",0.00025231367423753,0.609483971957562,0.271101846741519,0.552746458549913
"5337","RPL41",0.000229914455755847,0.543604958038249,0.293356673606363,0.552746458549913
"1531","RPL14",0.00021059864796892,0.486794655879789,0.313201928952757,0.552746458549913
"1356","RPL37A",0.000203126672745286,0.464818605234757,0.321030681484459,0.552746458549913
"7608","UQCR11",0.000200770465276725,0.457888692713701,0.32351620544566,0.552746458549913
"5538","RPLP0",0.000198498400662948,0.451206255268886,0.325920450855657,0.552746458549913
"4317","RPLP2",0.000177174759726275,0.388490654756916,0.34882648425113,0.552746458549913
"6117","B2M",0.000177020493997592,0.388036939191103,0.348994348828318,0.552746458549913
"5358","LRP1",0.000176735643621633,0.38719915719893,0.349304387017376,0.552746458549913
"125","HSPG2",0.000170998371591445,0.370325094193352,0.355570139189979,0.552746458549913
"4358","EIF3F",0.000170487081080095,0.36882132232106,0.356130455251258,0.552746458549913
"8452","MT-CYB",0.000163470378828781,0.348184288682588,0.363850893132013,0.552746458549913
"3059","TOMM7",0.000161981277198209,0.343804647172865,0.365496602554756,0.552746458549913
"6270","RPS17",0.000152238882057306,0.315150996349296,0.376323505141965,0.552746458549913
"5176","TPI1",0.000151757717261122,0.313735828122278,0.376860843375164,0.552746458549913
"550","S100A11",0.000149717715159805,0.307735916699564,0.379141643758547,0.552746458549913
"5325","CD63",0.000149503943181291,0.307107185515949,0.379380894287486,0.552746458549913
"6510","ALDOA",0.000146583715231057,0.298518415423888,0.382653761505014,0.552746458549913
"93","HSPB7",0.000145525406954216,0.29540579317959,0.38384195417666,0.552746458549913
"6074","SRP14",0.000144554854116432,0.292551271091594,0.384932582422241,0.552746458549913
"6158","ANXA2",0.000142995007416101,0.287963559133379,0.386687316628357,0.552746458549913
"899","LAPTM4A",0.000142826715292393,0.287468590116075,0.386876774437547,0.552746458549913
"4578","CFL1",0.000142608502174578,0.286826796964334,0.387122471816137,0.552746458549913
"5426","LUM",0.000141359016627519,0.2831518975113,0.388530200099218,0.552746458549913
"7246","MYL12B",0.000140347734119233,0.280177584166653,0.389670631734462,0.552746458549913
"2122","ANXA5",0.000140328922486031,0.280122256707505,0.389691854804765,0.552746458549913
"1643","ARF4",0.000140233244824221,0.279840856264031,0.389799802342609,0.552746458549913
"3184","HSPB1",0.000139934517095682,0.278962259173577,0.39013689412409,0.552746458549913
"2741","RPS10",0.000137689066725628,0.272358097679955,0.392673344211991,0.552746458549913
"5875","LGALS3",0.000137658174526555,0.272267239705854,0.392708271972213,0.552746458549913
"5937","LTBP2",0.000136647660179008,0.269295185621815,0.393851268352231,0.552746458549913
"4041","ANXA1",0.000134867209981269,0.264058650094675,0.395867362878147,0.552746458549913
"7100","MRC2",0.000133149099143066,0.259005462729347,0.397815512817146,0.552746458549913
"7245","MYL12A",0.000132839354946503,0.258094464774062,0.398167001686787,0.552746458549913
"2425","SKP1",0.000130854019687511,0.252255335642455,0.400421854474537,0.552746458549913
"8445","MT-ATP6",0.000130700568178764,0.25180401480334,0.400596276964918,0.552746458549913
"5754","GAS6",0.000129947925075156,0.249590393576356,0.401452064166657,0.552746458549913
"5683","ITM2B",0.000129816326502388,0.249203345063293,0.401601746025947,0.552746458549913
"57","ENO1",0.000128131481583279,0.244247997091281,0.40351937807922,0.552746458549913
"5620","SAP18",0.000127239427707226,0.241624350656233,0.404535625987783,0.552746458549913
"874","ID2",0.000126996944748482,0.240911176746734,0.404811979719824,0.552746458549913
"4302","IFITM2",0.000126851126756088,0.24048230707173,0.40497818889453,0.552746458549913
"4418","CD59",0.000126682769328257,0.239987145986509,0.40517011073909,0.552746458549913
"648","MGST3",0.000126424610425714,0.239227867088097,0.405464447551055,0.552746458549913
"4394","LDHA",0.000126393622377782,0.23913672721004,0.405499781803888,0.552746458549913
"5189","MFAP5",0.000126156484282392,0.238439273238608,0.405770204997017,0.552746458549913
"5340","MYL6",0.000125663152189101,0.236988319408797,0.406332925966944,0.552746458549913
"341","TMEM59",0.000125493906629818,0.2364905462135,0.406526021145345,0.552746458549913
"8431","COL6A2",0.000125398709379812,0.236210558723607,0.406634643322382,0.552746458549913
"7398","DSTN",0.000124203724286521,0.232695952191302,0.407998756315201,0.552746458549913
