"","gene","distance","Z","p.value","p.adj"
"661","ATP1B1",0.00713585274531989,26.9460463695117,3.17326097212324e-160,2.68267482583299e-156
"508","POLR3GL",0.00611480447122551,23.074098531074,4.21441468814382e-118,1.78143308867839e-114
"6460","ITPRIPL2",0.00567992779359216,21.4249896155892,3.90761100655188e-102,1.10116478164632e-98
"3465","PORCN",0.00557889182877394,21.0418480976925,1.3579221838224e-98,2.86996853550865e-95
"2832","CD109",0.00500690120511664,18.8727852677878,9.54815515076664e-80,1.61440207289162e-76
"1269","LINC01116",0.00416392645114595,15.6761153753781,1.10161575384344e-55,1.55217659716541e-52
"8230","APOL6",0.00414664577535954,15.6105848055162,3.08345616969105e-55,3.72393406550974e-52
"333","PODN",0.00410130625666309,15.4386514544039,4.49807967900722e-54,4.75334570079087e-51
"6185","CLPX",0.00390360000561417,14.6889236395525,3.79550052230572e-49,3.56524015728584e-46
"2976","GTF2H5",0.00357883918296706,13.4573883662835,1.39294977382153e-41,1.17759973878872e-38
"1647","PXK",0.00328327059911798,12.3365538588656,2.8783762523929e-35,2.21216298524814e-32
"6614","ENKD1",0.00298378150642141,11.2008522720521,2.01914806880315e-29,1.42248981447182e-26
"2361","TTC37",0.00297656236752982,11.1734763585562,2.74929350469882e-29,1.78788671451722e-26
"6310","TTC23",0.00291111243955265,10.9252817201765,4.36345835515738e-28,2.63490549532146e-25
"8085","NDUFA3",0.0028676316676029,10.7603969784499,2.64708050981817e-27,1.49189457533352e-24
"2278","SNX18",0.00282500087587744,10.5987354722702,1.51018207313563e-26,7.97942452893036e-24
"147","SYF2",0.00282272696893306,10.590112521425,1.65596751156736e-26,8.23502902517086e-24
"3264","PLOD3",0.00282038166565883,10.5812188264122,1.82094740187473e-26,8.55238296413831e-24
"1446","BRPF1",0.00280347673223639,10.5171131204582,3.60236620635537e-26,1.60286336360675e-23
"6746","SMYD4",0.00257585869647149,9.65395592806099,2.36476136705906e-22,9.99584629855866e-20
"1140","RNF149",0.00250401010845486,9.38149673869257,3.25213768875666e-21,1.30921771527375e-18
"2234","OTULIN",0.00243158590335676,9.10685473449458,4.24024146420867e-20,1.62940915174637e-17
"4611","ADRBK1",0.00241938780093867,9.06059794381284,6.48686895822158e-20,2.38434739881762e-17
"4874","PARD3",0.00240281852881059,8.99776510913839,1.15179516695023e-19,4.0571984755822e-17
"3462","UXT",0.00236577830023867,8.85730374546633,4.09864765189095e-19,1.38599868996344e-16
"3608","CXorf40B",0.00236287764141168,8.84630406997579,4.52327745349284e-19,1.47076106122417e-16
"3024","GNA12",0.00234866652455078,8.79241366674277,7.3190332038759e-19,2.2916706187247e-16
"3344","MTPN",0.00231090084256342,8.64920128937717,2.59305581477209e-18,7.82917637788686e-16
"4153","RABGAP1",0.00223724297524086,8.36988107759143,2.88382058118721e-17,8.40683420460575e-15
"8227","TOM1",0.00220033807006795,8.22993287784668,9.36591882222893e-17,2.63931592410411e-14
"4411","RCN1",0.00217315241351982,8.12684133283486,2.20310766152183e-16,6.00808779693729e-14
"8095","PPP1R12C",0.00216535741143647,8.09728167122725,2.81004215763688e-16,7.42378012520693e-14
"2718","BRD2",0.00216418099492878,8.09282054684203,2.91493623711013e-16,7.46753665106942e-14
"3162","TBL2",0.00214991037628885,8.03870450512497,4.53966160447929e-16,1.12877350600788e-13
"7000","NBR1",0.00213912885366972,7.99781956926115,6.33208816461917e-16,1.52904362444933e-13
"2021","CEP135",0.00213822277274694,7.99438359256994,6.51118647742797e-16,1.52904362444933e-13
"8240","C1QTNF6",0.00209295267890724,7.82271350954278,2.58483340216011e-15,5.90599502212474e-13
"266","PPCS",0.00206315116127019,7.70970227909995,6.30557940761134e-15,1.40282548189332e-12
"1729","CCDC14",0.00204872255584428,7.6549871309449,9.66658009981432e-15,2.09541713240591e-12
"1861","ALG3",0.0020462681147688,7.64567957119686,1.03922333321302e-14,2.14282783655101e-12
"8091","TSEN34",0.00204626811449509,7.64567957015891,1.03922334159677e-14,2.14282783655101e-12
"2595","GMDS",0.00203787863190711,7.61386556116805,1.33008749167685e-14,2.67727610824669e-12
"898","OSR1",0.00198780692820715,7.42398714912146,5.68230957073566e-14,1.11716849095347e-11
"3792","TERF1",0.00198344832603096,7.4074587628513,6.43712486745383e-14,1.23680576430579e-11
"8002","PPP5C",0.00196557847471098,7.33969396274626,1.07041402190449e-13,2.01095114248457e-11
"7175","SOCS3",0.00192248074948923,7.1762617840259,3.58216566164732e-13,6.58339750077531e-11
"2014","FIP1L1",0.00190275891455597,7.10147402121654,6.17166082413244e-13,1.11011107674927e-10
"7684","PET100",0.00186548288577475,6.96011847248599,1.69993351865597e-12,2.99400790973283e-10
"4205","C9orf114",0.00186321374726094,6.95151360414964,1.80693776426864e-12,3.05517073013504e-10
"512","NBPF14",0.00186321374289883,6.95151358760795,1.80693797618586e-12,3.05517073013504e-10
"1056","MCEE",0.00180810831016975,6.74254662046744,7.78171396850928e-12,1.28993352725054e-09
"8208","TBC1D10A",0.0018015190526838,6.71755929917525,9.23967869276278e-12,1.50215853208878e-09
"1325","TRAK2",0.00177162183353878,6.60418515616864,1.99854854131147e-11,3.18787346570702e-09
"1553","SETD2",0.00176273204766958,6.57047393207302,2.50776823186973e-11,3.92605048744938e-09
"7610","REXO1",0.00175162285440238,6.52834642649954,3.32498738774712e-11,5.11080788654802e-09
"1793","HLTF",0.00173910576723489,6.48088000416541,4.55945879663090e-11,6.88315440477101e-09
"736","FMOD",0.00172806700309928,6.4390195750179,6.01238467228493e-11,8.91731579289418e-09
"3158","POM121",0.00168575701480273,6.27857459715977,1.70845539503267e-10,2.49022101889763e-08
"6853","ALKBH5",0.00168489109134359,6.27529090279299,1.74490593946965e-10,2.50024318852143e-08
"8271","SYNGR1",0.00167681863519478,6.2446790992874,2.12335537665013e-10,2.99180772570004e-08
"1609","RAD54L2",0.00166747776046092,6.20925728755481,2.66178009711363e-10,3.68896540016372e-08
"6151","FAM63B",0.00164354235295496,6.11849110959222,4.72327758231005e-10,6.44041752916922e-08
"1576","IMPDH2",0.00164201534757438,6.11270050660839,4.89795547011424e-10,6.57258976894377e-08
"6261","MTHFS",0.00160992874241941,5.99102392713151,1.04261977254912e-09,1.3772355558016e-07
"4574","RELA",0.00160618754148945,5.9768368066775,1.13755951673091e-09,1.47952740837586e-07
"2674","DHX16",0.00159105394691375,5.91944824798554,1.61511731016512e-09,2.06881844547514e-07
"7108","DDX42",0.00156905546233246,5.83602713364208,2.67300968093293e-09,3.37277967800104e-07
"4984","FAM35A",0.00154296472745544,5.73708767399713,4.81592016211691e-09,5.98732191919653e-07
"517","OTUD7B",0.00151975643428939,5.64907880816968,8.06549489712498e-09,9.88198461743399e-07
"3596","FAM127B",0.00149395015348993,5.55121803537886,1.41842997206229e-08,1.71305814054494e-06
"1427","BOK",0.00148538144560599,5.51872438075824,1.70734634264762e-08,2.03294450433e-06
"4312","TMEM80",0.00145548477776603,5.40535232837207,3.23405609950105e-08,3.79732087016415e-06
"5153","C12orf4",0.00145405797759568,5.3999417165767,3.33312755297949e-08,3.86003566203953e-06
"8031","HSD17B14",0.00144443554879199,5.36345221519634,4.08231290612435e-08,4.66376666329395e-06
"7670","NDUFA11",0.00144367085865092,5.36055241073666,4.14839255653124e-08,4.67606808972201e-06
"7571","TPD52L2",0.00142618046592272,5.29422656695864,5.97605880591721e-08,6.6475790980558e-06
"5411","OSBPL8",0.00137991473905313,5.11878091400424,1.53758468031414e-07,1.68814816719165e-05
"7572","DNAJC5",0.0013587731903361,5.03860941189899,2.34463165391135e-07,2.54122000027777e-05
"6444","BFAR",0.00135585951718814,5.02756038441086,2.48379543230871e-07,2.65797551705543e-05
"2635","ATXN1",0.00131165935850232,4.85994763462784,5.87084031248553e-07,6.20401050021909e-05
"8381","GART",0.00128138748231351,4.74515274338859,1.04174528472842e-06,0.000108727341198692
"7297","EPG5",0.0012524484876138,4.63541231209165,1.78113355706522e-06,0.000183630525505236
"4485","DDB1",0.00123894912729495,4.58422098222702,2.27841060230502e-06,0.000232068472673333
"1292","COL5A2",0.00121254432419511,4.48409053503785,3.66127848724292e-06,0.000368481527751806
"528","MCL1",0.00120307566576389,4.44818415090712,4.32996360169174e-06,0.000430653085749435
"3689","RHOBTB2",0.00118505690966254,4.37985468450668,5.93792385469573e-06,0.000583711724041834
"7193","SLC38A10",0.00117917089919926,4.3575341673788,6.57679847845363e-06,0.000639083383182149
"7878","TMEM147",0.00117764191122436,4.35173604613949,6.75319028079671e-06,0.000648766711748356
"3884","SQLE",0.00116248022222058,4.29424094972268,8.76460106070655e-06,0.000832538622103519
"4076","BICD2",0.00115624041915609,4.27057880504178,9.74831565138779e-06,0.00091569178352036
"4719","ATM",0.00115195915586868,4.25434369789547,1.04831525832301e-05,0.000973896394929968
"5985","BTBD7",0.0011447372273468,4.2269572057588,1.18436347649629e-05,0.0010883270467717
"4687","CREBZF",0.00112734973332485,4.16102156725643,1.58413580010826e-05,0.00144003054345325
"5352","BAZ2A",0.0011125650359629,4.10495607217167,2.02195858226916e-05,0.00181847211218122
"74","EXOSC10",0.00109321269214667,4.03156946772888,2.77028072263296e-05,0.00246525823464622
"7847","ZNF714",0.00108807707022442,4.01209452153349,3.00911962157287e-05,0.00264990596674761
"5809","NOP9",0.00108266143761217,3.99155773838737,3.28203510410303e-05,0.00286044585258629
"4591","PACS1",0.00106437067862686,3.92219680167811,4.38726374400486e-05,0.00378468649916501
"4688","PICALM",0.00105991905976083,3.90531568402368,4.70512298980639e-05,0.00401788987432558
"8286","ZC3H7B",0.00100842561519412,3.71004584571887,0.000103610859235244,0.00875926203974752
"1304","STK17B",0.00097533516946969,3.58456257225732,0.000168821806469873,0.0141308866524387
"7419","BCL2L1",0.000964751120303253,3.54442648140672,0.000196734110188391,0.0163057859562026
"5573","MPHOSPH9",0.000962664096531055,3.5365122158538,0.000202723874967743,0.0166391032910418
"5853","MAP4K5",0.000955249339671708,3.50839449358494,0.000225410005276243,0.0183232325442823
"6315","CHSY1",0.000935680838020269,3.43418819052061,0.000297165707406005,0.0239260846705749
"2087","H2AFZ",0.000933889071762641,3.42739357985996,0.000304702556198885,0.0243014661330695
"6117","B2M",0.000929744546014379,3.41167699924425,0.00032282284511116,0.0255060217997173
"3271","ALKBH4",0.000894158633640717,3.27673059172376,0.000525082604415481,0.0411022994234118
"7822","SSBP4",0.000876819374029971,3.21097786438138,0.000661420620652094,0.0512995406146129
"7061","COL1A1",0.00087356866681699,3.19865075988883,0.000690361598548576,0.0530574268557242
"8419","AGPAT3",0.000832886895691055,3.04438019328453,0.00116580138553897,0.0887899541742924
"5942","PGF",0.000803432101055245,2.93268378155228,0.00168022983725219,0.126827348608304
"7294","FHOD3",0.000792658049194214,2.89182717577472,0.00191504285171356,0.143272320959172
"3972","TUSC1",0.000783659337117728,2.85770288933569,0.00213359868340209,0.158223186574397
"5173","P3H3",0.000771048303605791,2.80988021024609,0.00247799711679519,0.18216510978597
"4544","EHD1",0.000765542935133666,2.78900313704957,0.00264352764519209,0.192658471659086
"6829","MAP2K4",0.000725601413637023,2.63753969330593,0.00417549257979433,0.301706104868216
"5166","NOP2",0.000653693690077634,2.36485625426903,0.00901853512235705,0.545395066417434
"7228","WDR45B",0.000643321149378424,2.32552223103194,0.0100220262989276,0.545395066417434
"2506","SPARC",0.000529770637208112,1.89492392211135,0.0290512406973868,0.545395066417434
"7506","NCOA5",0.000515964154279789,1.8425679433716,0.0326960589706782,0.545395066417434
"6162","TLN2",0.000479851034420287,1.70562229650367,0.0440392126688922,0.545395066417434
"6158","ANXA2",0.0004230903093515,1.49037824554714,0.0680624046299052,0.545395066417434
"5646","HMGB1",0.000299321573547829,1.02103110377146,0.153619851298408,0.545395066417434
"5176","TPI1",0.000289494893961946,0.983767056863079,0.162615030203151,0.545395066417434
"7499","UBE2C",0.000219171289751229,0.717090804404457,0.236659034670959,0.545395066417434
"4041","ANXA1",0.000135561388247578,0.400031184783453,0.344566774036728,0.545395066417434
"5221","KRAS",0.000121896591517723,0.348212498533992,0.36384030099787,0.545395066417434
"199","KHDRBS1",0.000118248962586269,0.334380215266981,0.369046333495691,0.545395066417434
"2109","ELOVL6",7.14495149458531e-05,0.156910623741443,0.437657643521163,0.545395066417434
"4830","FAM107B",5.76157989098364e-05,0.104451373515763,0.45840557771649,0.545395066417434
"8431","COL6A2",4.46931576197773e-05,0.055447037208228,0.477891161587404,0.545395066417434
"4904","TFAM",4.42583257574359e-05,0.0537980982381584,0.478548012356629,0.545395066417434
"1090","TMSB10",4.33517796884927e-05,0.0503603576521883,0.47991761314484,0.545395066417434
"4979","WAPL",4.33349128816832e-05,0.0502963965273089,0.479943097645979,0.545395066417434
"3674","INTS10",3.73801318154931e-05,0.0277150923298608,0.488944693194569,0.545395066417434
"669","METTL13",3.64365011093641e-05,0.0241367219769801,0.490371775972786,0.545395066417434
"5432","MRPL42",3.41546979285977e-05,0.015483827576522,0.493823093336046,0.545395066417434
"7114","DDX5",3.16682134863511e-05,0.00605475521458603,0.497584516906056,0.545395066417434
"767","PPP2R5A",3.13581533571966e-05,0.00487896688280498,0.498053581547968,0.545395066417434
"4623","GSTP1",3.08769931256092e-05,0.00305434471174306,0.498781494650143,0.545395066417434
"8446","MT-CO3",2.91215471088567e-05,-0.00360253487221925,0.501437200368422,0.545395066417434
"5340","MYL6",2.86299654744396e-05,-0.0054666763580712,0.502180877470076,0.545395066417434
"8430","COL6A1",2.82797025702412e-05,-0.00679491884102205,0.502710759557853,0.545395066417434
"7829","COMP",2.82239875696959e-05,-0.00700619736859327,0.50279504548851,0.545395066417434
"6208","RPLP1",2.82118747744704e-05,-0.00705213066330692,0.502813369769149,0.545395066417434
"3436","ZFX",2.80060586285556e-05,-0.00783261225414791,0.503124728243888,0.545395066417434
"1957","KIAA0232",2.78215982950256e-05,-0.0085321098271912,0.503403778053631,0.545395066417434
"6925","GGNBP2",2.753583811875e-05,-0.00961574957754792,0.503836069948619,0.545395066417434
"4383","FAR1",2.7416735442741e-05,-0.0100674024137803,0.504016244633758,0.545395066417434
"299","PRDX1",2.70194741227436e-05,-0.0115738690013894,0.504617202609784,0.545395066417434
"3272","LRWD1",2.69014888474427e-05,-0.0120212845088234,0.504795683149973,0.545395066417434
"6812","WRAP53",2.67503057798283e-05,-0.0125945903619449,0.505024381768355,0.545395066417434
"4234","SETX",2.67385676171174e-05,-0.0126391030014439,0.505042138328919,0.545395066417434
"5211","MGST1",2.61458994863436e-05,-0.014886577627358,0.505938665880405,0.545395066417434
"7245","MYL12A",2.59598756329541e-05,-0.0155920042710376,0.506220057711905,0.545395066417434
"6365","RPS2",2.56150662898304e-05,-0.0168995661411807,0.506741630556256,0.545395066417434
"6961","SMARCE1",2.55383246758609e-05,-0.0171905803212799,0.506857711552492,0.545395066417434
"6604","E2F4",2.51570704045717e-05,-0.018636346098537,0.507434396064186,0.545395066417434
"610","APOA1BP",2.48678053136402e-05,-0.0197332769410686,0.507871927608335,0.545395066417434
"2180","C4orf27",2.38494655465425e-05,-0.0235949537687448,0.509412151329328,0.545395066417434
"7013","SLC25A39",2.35853695305914e-05,-0.0245964402058174,0.509811570626861,0.545395066417434
