"","gene","distance","Z","p.value","p.adj"
"7645","EEF2",0.00839481919584009,2.28331963364771,0.0112057736660657,0.59997707334509
"8270","RPL3",0.00630218043424499,2.17666751319803,0.0147526919388549,0.59997707334509
"8046","RPL13A",0.00622773917028552,2.17231325113041,0.0149160216019233,0.59997707334509
"6208","RPLP1",0.00591869362077059,2.15372028497301,0.0156310571849128,0.59997707334509
"1912","RPL35A",0.0057775705313326,2.14493767579874,0.0159789151958203,0.59997707334509
"1469","RPL32",0.00569373925086591,2.13962869792084,0.0161923927429383,0.59997707334509
"3966","RPS6",0.00563532443008633,2.1358875779461,0.0163442891756107,0.59997707334509
"2497","RPS14",0.00557677900525408,2.13210290929154,0.0164991937623998,0.59997707334509
"2592","GNB2L1",0.00539117735946106,2.11986368083659,0.0170087715267036,0.59997707334509
"5514","RPL6",0.0053789906956203,2.11904684521096,0.0170432541022524,0.59997707334509
"2830","EEF1A1",0.00537468612479408,2.11875792461094,0.0170554651333372,0.59997707334509
"3395","SLC25A6",0.00527927144819878,2.11229967009229,0.0173303770717425,0.59997707334509
"4540","PRDX5",0.00527390493720322,2.11193331933718,0.0173460845145515,0.59997707334509
"1495","RPL15",0.00506977718652597,2.09774298834125,0.0179639275990378,0.59997707334509
"3513","RPS4X",0.00502962990600087,2.09489169624123,0.0180903105961103,0.59997707334509
"2923","RPS12",0.00501173138958537,2.09361392236111,0.0181471931662157,0.59997707334509
"3793","RPL7",0.00500167338411945,2.09289407849211,0.0181793054851695,0.59997707334509
"2747","RPL10A",0.0049320168155511,2.0878727512573,0.0184046573813445,0.59997707334509
"4242","RPL7A",0.00488586144923513,2.08451027697082,0.018556888198955,0.59997707334509
"6456","RPS15A",0.00488052900370484,2.08411996155643,0.0185746283749375,0.59997707334509
"4666","RPS3",0.00485189048730383,2.0820171383433,0.018670452156712,0.59997707334509
"2724","RPS18",0.00472196710632057,2.07233476653589,0.0191171161492209,0.59997707334509
"3629","RPL10",0.00471187068110103,2.07157233978889,0.019152670844315,0.59997707334509
"2699","C6orf48",0.00467295797020589,2.06862004435202,0.0192908777389144,0.59997707334509
"1099","VAMP5",0.00464461123758474,2.06645542418089,0.0193927486209774,0.59997707334509
"8129","RPS5",0.0046110229370406,2.06387510155554,0.0195147800113466,0.59997707334509
"1340","EEF1B2",0.00444783163499745,2.05109244458534,0.0201289724811174,0.59997707334509
"6821","RPL26",0.00436746174455019,2.04464124490952,0.0204451200475146,0.59997707334509
"6715","RPL13",0.00435845958890949,2.04391201176815,0.0204811201419391,0.59997707334509
"6193","RPL4",0.00428866258497894,2.03821154625915,0.0207643906441228,0.59997707334509
"6942","RPL19",0.00422484217075516,2.03292564626314,0.0210300177712827,0.59997707334509
"8442","MT-CO1",0.00421470368531567,2.03207932353586,0.0210728131081894,0.59997707334509
"7412","CST3",0.00421429905161216,2.03204550822441,0.02107452455027,0.59997707334509
"413","RPL5",0.00410969305336815,2.02320397556246,0.0215260609875846,0.59997707334509
"7816","RPL18A",0.00407313700001496,2.02006636883762,0.0216882518730743,0.59997707334509
