"","gene","distance","Z","p.value","p.adj"
"2453","PAIP2",0.563615584948582,3.37841724146874,0.000364521862665795,0.72530757321722
"6789","RNASEK",0.559281769366796,3.37471767936212,0.000369457260246465,0.72530757321722
"7519","PTGIS",0.475947725530489,3.29803843153915,0.000486814036970945,0.72530757321722
"8394","CBR3",0.46775003523121,3.28985500251574,0.000501195110477311,0.72530757321722
"6703","CYBA",0.460270443251237,3.28227501921826,0.000514865601515238,0.72530757321722
"8018","EHD2",0.35108775987039,3.15675724833684,0.000797670487491459,0.72530757321722
"8160","DGCR6L",0.31892420058113,3.11302926849901,0.000925888262459174,0.72530757321722
"6437","ZC3H7A",0.268187853471143,3.03522889833827,0.00120176598314865,0.72530757321722
"1731","ITGB5",0.169849851072834,2.83647284196177,0.00228074288015597,0.72530757321722
"660","DPT",0.138267860792024,2.74987943793254,0.00298085975551094,0.72530757321722
"8025","KDELR1",0.137158817320416,2.74652569880635,0.0030115083565646,0.72530757321722
"6758","ITGAE",0.112769884945612,2.66581598782014,0.00384008589465893,0.72530757321722
"7819","JUND",0.0899111642476124,2.57438632826385,0.00502090386885916,0.72530757321722
"7037","COPZ2",0.0891083692902912,2.57080881831112,0.00507306604406333,0.72530757321722
"6568","MT2A",0.0859397011440729,2.55639895601762,0.00528808912205925,0.72530757321722
"2254","NIPBL",0.0828410021593742,2.54183716790556,0.00551357662072397,0.72530757321722
"1932","C4orf48",0.0770106755163806,2.51305680521852,0.00598450303740828,0.72530757321722
"5947","FOS",0.0666236536182183,2.45653819853212,0.00701414437215441,0.72530757321722
"8446","MT-CO3",0.0579863790312246,2.40313601620273,0.00812757005683049,0.72530757321722
"8049","RCN3",0.053766618686413,2.37438751481159,0.00878904562694564,0.72530757321722
"5857","FRMD6",0.0521601745187772,2.36290669320304,0.00906611709265764,0.72530757321722
"4745","TAGLN",0.0487739955205926,2.33762541689767,0.00970334412476479,0.72530757321722
"4515","TMEM179B",0.0480483104000295,2.33200250347077,0.00985027972960694,0.72530757321722
"4908","ARID5B",0.0454975420867199,2.3116121341426,0.0103995336736759,0.72530757321722
"5606","ANKLE2",0.0451944515290317,2.30912129409256,0.0104684257186211,0.72530757321722
