"","gene","distance","Z","p.value","p.adj"
"2445","CDC23",0.00267626096974868,2.79133361228018,0.00262456690169323,0.504518711686566
"8053","SCAF1",0.00266545632916457,2.78955810887866,0.00263900120540722,0.504518711686566
"74","EXOSC10",0.00263992459334173,2.78533665759254,0.00267360866628106,0.504518711686566
"8339","SELO",0.00232802182435381,2.73056294211931,0.0031613129231429,0.504518711686566
"3024","GNA12",0.00231137914594256,2.72745814959796,0.00319121766170191,0.504518711686566
"7611","KLF16",0.0022810814762021,2.72175391727736,0.00324682386957554,0.504518711686566
"6651","PHLPP2",0.00215171465565546,2.69660369272439,0.00350252920446181,0.504518711686566
"5132","TUBGCP2",0.00204783385415023,2.67540289552808,0.00373197459799992,0.504518711686566
"6084","RMDN3",0.00204605580596784,2.67503166428762,0.00373610962109159,0.504518711686566
"3659","MSRA",0.00198752469369793,2.66264613205187,0.00387644489648393,0.504518711686566
"4419","CAPRIN1",0.0019585532964802,2.65639367809655,0.00394906760009162,0.504518711686566
"1427","BOK",0.00193072646095871,2.65030936744769,0.00402090479263511,0.504518711686566
"2545","BNIP1",0.00192784838346304,2.64967558266956,0.00402845474262055,0.504518711686566
"6035","NUDT14",0.00192633370332295,2.64934169111656,0.0040324373221603,0.504518711686566
"3962","ADAMTSL1",0.00192499876664848,2.64904722572678,0.00403595256047915,0.504518711686566
"6947","MIEN1",0.00191236702045211,2.64625173316807,0.0040694611945584,0.504518711686566
"6026","APOPT1",0.00186961076732645,2.63666453132243,0.0041862793119484,0.504518711686566
"1793","HLTF",0.00186122910907025,2.63476201622076,0.00420981462933362,0.504518711686566
"152","SEPN1",0.00185760040927881,2.63393596114778,0.00422007024867909,0.504518711686566
"6211","LARP6",0.00184504976035104,2.63106762743124,0.00425585483334556,0.504518711686566
"5092","RAB11FIP2",0.0018069429184233,2.62224977117856,0.00436756935260545,0.504518711686566
"4529","NUDT22",0.00180346287075152,2.62143617597308,0.00437800778368577,0.504518711686566
"2520","RP11-175K6.1",0.00179820752909029,2.62020485539695,0.00439384803514764,0.504518711686566
"4095","GABBR2",0.00179339443930289,2.61907430925437,0.00440843695192118,0.504518711686566
"1553","SETD2",0.00175803870006142,2.61068488033437,0.00451805572738233,0.504518711686566
"1898","UBXN7",0.00175800385172812,2.6106765366707,0.00451816594891495,0.504518711686566
"5225","ASUN",0.00174718776882664,2.60807964349472,0.00455258833695257,0.504518711686566
"5483","SSH1",0.00171344346096402,2.59988375595095,0.00466276720168605,0.504518711686566
"7841","MAU2",0.00169480825296794,2.59529512704301,0.00472548640046509,0.504518711686566
"4138","FBXW2",0.00169103682252517,2.59436094961527,0.00473834691574807,0.504518711686566
"5631","MTMR6",0.00166877504314828,2.58880823526499,0.00481543553195066,0.504518711686566
"7390","CRLS1",0.00166487671673397,2.58782903020283,0.00482914526611747,0.504518711686566
"2976","GTF2H5",0.00164639969342062,2.58315960463821,0.00489500106828904,0.504518711686566
"8415","RRP1B",0.00163395589038275,2.57998821526538,0.00494018434224676,0.504518711686566
"2735","ITPR3",0.00162823029894729,2.57852170079308,0.00496120336054281,0.504518711686566
"4253","OLFM1",0.00162369974221012,2.57735798152065,0.00497793917995386,0.504518711686566
"7847","ZNF714",0.00161519199605942,2.57516476213321,0.00500961732625203,0.504518711686566
"4732","C11orf57",0.0016134262919885,2.57470827723889,0.00501623317492623,0.504518711686566
"781","EPRS",0.00159430087082377,2.56973478762011,0.00508881992930275,0.504518711686566
"3158","POM121",0.00159082835732484,2.56882601920218,0.00510218374936214,0.504518711686566
"2014","FIP1L1",0.00158854222230091,2.56822675492081,0.00511101326673209,0.504518711686566
"2302","SREK1",0.00158676980357396,2.56776161663414,0.00511787595472171,0.504518711686566
"2492","TIGD6",0.00157036506337081,2.56343416357827,0.00518211774866157,0.504518711686566
"7297","EPG5",0.00154526647827285,2.55673394027898,0.00528299987934445,0.504518711686566
"6592","TK2",0.00154463847576047,2.55656503848388,0.00528556537223321,0.504518711686566
"1292","COL5A2",0.0015309324278606,2.55286330607069,0.00534207090621889,0.504518711686566
"8147","C22orf39",0.00153080589953334,2.55282899454808,0.00534259716140837,0.504518711686566
"2752","STK38",0.0015082886354355,2.54668181192632,0.0054376271932066,0.504518711686566
"4559","POLA2",0.0015062206145381,2.54611311155723,0.00544649427041228,0.504518711686566
"2465","WDR55",0.00149473639359091,2.54294213491281,0.00549617157878648,0.504518711686566
"4603","CCS",0.00148958868707882,2.54151364848548,0.00551868184147891,0.504518711686566
"7252","MTCL1",0.00148836177286746,2.54117252471473,0.00552406941190183,0.504518711686566
"953","BIRC6",0.00148804776505035,2.54108517921578,0.00552544966246974,0.504518711686566
"1955","MRFAP1L1",0.00148680418420682,2.54073909745517,0.00553092152630524,0.504518711686566
"1829","SEC62",0.00147765883500977,2.53818596394935,0.00557143783933547,0.504518711686566
"3407","PNPLA4",0.00147595110441378,2.53770763676701,0.00557905778712698,0.504518711686566
"1613","PCBP4",0.00146401083568523,2.53434923930507,0.00563281958258819,0.504518711686566
"8264","DNAL4",0.00143482068305391,2.52603405792237,0.00576791486768846,0.504518711686566
"2674","DHX16",0.00142854117638682,2.52422538100294,0.00579767807637062,0.504518711686566
"2264","FBXO4",0.00141492071394901,2.5202775776667,0.00586311608569051,0.504518711686566
"2655","HMGN4",0.00141430789392135,2.52009915287157,0.00586608903345037,0.504518711686566
"5332","DGKA",0.00140149797570216,2.51635347894848,0.00592880960776414,0.504518711686566
"1462","TATDN2",0.00139186092244892,2.51351519948442,0.00597673134538026,0.504518711686566
"6507","TAOK2",0.00138917486114537,2.51272095610368,0.00599020276409866,0.504518711686566
"6989","EZH1",0.00138011548819734,2.51003195297276,0.00603601187677683,0.504518711686566
"3680","BMP1",0.00137900994553229,2.50970271894515,0.00604164189847798,0.504518711686566
"5590","BRI3BP",0.00137680545064802,2.50904550381619,0.00605289443703728,0.504518711686566
"2907","SERINC1",0.00137604082162047,2.50881732752618,0.00605680550935326,0.504518711686566
"1106","POLR1A",0.00137553232924338,2.50866552290871,0.0060594087679981,0.504518711686566
"8181","CABIN1",0.00137490743737823,2.50847889936131,0.00606261048643603,0.504518711686566
"3960","BNC2",0.00137438379535211,2.50832245521625,0.00606529560138612,0.504518711686566
"3799","ZC2HC1A",0.00136754393028978,2.50627402398303,0.00610055103586595,0.504518711686566
"2595","GMDS",0.00136626147122879,2.50588892161633,0.00610719925162491,0.504518711686566
"2087","H2AFZ",0.00135370591638272,2.50210140360018,0.00617292790377015,0.504518711686566
"4244","SURF2",0.00134238485996343,2.49865908102369,0.00623320878977977,0.504518711686566
"7495","SDC4",0.00133118082570996,2.4952265196073,0.00629383724814195,0.504518711686566
"7346","CTDP1",0.00132106250097262,2.49210416752194,0.0063494394072846,0.504518711686566
"1003","ACYP2",0.00131853453285623,2.49132071744993,0.00636345896714538,0.504518711686566
"5402","TMEM19",0.00131502566445863,2.49023103021723,0.00638300408421554,0.504518711686566
"1878","MASP1",0.00130844836027029,2.48818136419611,0.00641991180529817,0.504518711686566
"3623","HCFC1",0.00129573748438467,2.48419389686495,0.00649225431987212,0.504518711686566
"3657","ERI1",0.00129415357446771,2.48369455191141,0.00650136428799521,0.504518711686566
"214","KIAA1522",0.00126863946399146,2.47557421580321,0.00665110558201555,0.504518711686566
"1056","MCEE",0.00125967945004408,2.47268762609034,0.00670506500792052,0.504518711686566
"4211","PPP2R4",0.00125286863911864,2.47048104304608,0.00674657351541054,0.504518711686566
"4572","MAP3K11",0.001249464479624,2.46937410578925,0.00676748174555562,0.504518711686566
"6818","TMEM107",0.00124273369618354,2.46717743137519,0.00680914292395236,0.504518711686566
"3689","RHOBTB2",0.00123444686706297,2.46445816746442,0.00686102901835446,0.504518711686566
"2635","ATXN1",0.00122626311658478,2.46175655626618,0.00691292377119742,0.504518711686566
"3583","AIFM1",0.00122110600185753,2.4600457481493,0.00694596532461309,0.504518711686566
"3372","TMUB1",0.00120732849943218,2.45544313776611,0.00703555059724863,0.504518711686566
"8227","TOM1",0.00120025116202159,2.45306042408267,0.00708232715025599,0.504518711686566
"4656","ARHGEF17",0.00119718687704868,2.45202485234677,0.00710274251823968,0.504518711686566
"7219","GPS1",0.00119374646534973,2.45085932239611,0.00712578198640174,0.504518711686566
"7722","SLC44A2",0.00119183835278174,2.45021159512442,0.00713861433564974,0.504518711686566
"984","DYNC2LI1",0.00118773630252844,2.44881594862452,0.00716633327861399,0.504518711686566
"1326","STRADB",0.0011611875987945,2.43967690881996,0.00735020145724046,0.504518711686566
"7266","PSMG2",0.00115082709630107,2.4360593528297,0.00742412398233437,0.504518711686566
"4168","SLC2A8",0.00113978431246575,2.43217115227762,0.00750430668260987,0.504518711686566
"2765","OARD1",0.0011230749399428,2.42622277384669,0.00762845086836233,0.504518711686566
"4980","BMPR1A",0.00111559338527004,2.4235335562465,0.00768516659029002,0.504518711686566
"4232","RAPGEF1",0.00110879187571735,2.42107465578001,0.00773734942825492,0.504518711686566
"7921","PAF1",0.00110478769574168,2.41962069779225,0.0077683518468265,0.504518711686566
