"","gene","distance","Z","p.value","p.adj"
"5308","Ppp3ca",0.000207370796594987,26.9668220388622,1.81113403371886e-160,1.47390087664041e-156
"3249","Hpca",0.000164674340310462,21.3228419607303,3.48474497474105e-101,1.41794273022213e-97
"1306","Celf2",0.000157669394930906,20.3968688095359,8.91357784698499e-93,2.41795655062546e-89
"744","Atp2a2",0.000153779926644493,19.8827258704416,2.87137366746048e-88,5.84180972644834e-85
"4904","Pcp4l1",0.000104666266306052,13.3904652793732,3.43743575064092e-41,5.59477042774315e-38
"519","Ano3",9.99727967099628e-05,12.7700426213166,1.20511225758639e-37,1.634533925373e-34
"2423","Fam115a",7.44145737997008e-05,9.3915397315989,2.95647260440576e-21,3.4371105792363e-18
"584","Arf3",7.31052248440093e-05,9.21845887046139,1.50700406897792e-20,1.53299988916779e-17
"5355","Prkce",6.84715105381418e-05,8.60593517397959,3.78485197458655e-18,3.42234726324282e-15
"1086","Camk2n1",6.57281998961754e-05,8.24330108303287,8.37616602632989e-17,6.81652391222726e-14
"6861","Sv2b",6.47793005109144e-05,8.1178675062771,2.37223171250554e-16,1.75233222751837e-13
"4280","mt-Nd4",6.4700752566422e-05,8.10748437211394,2.58392562425909e-16,1.75233222751837e-13
"787","Atp9a",6.13058229328815e-05,7.65871375071447,9.39022311148464e-15,5.87827966778938e-12
"3167","Herc1",5.98237000557092e-05,7.46279416581121,4.23533111878885e-14,2.46193747462169e-11
"6761","St8sia3",5.91060948067661e-05,7.3679350116461,8.66456108824541e-14,4.70081320907608e-11
"2940","Gng7",5.83907680508835e-05,7.27337704803779,1.75304957932451e-13,8.91644842283931e-11
"7286","Tpm1",5.77514042449273e-05,7.18886051206468,3.26671390250943e-13,1.5637951610954e-10
"746","Atp2b2",5.55147995515207e-05,6.8932071152553,2.72741818059987e-12,1.23309606409565e-09
"1423","Ckb",5.4521884964638e-05,6.76195523546677,6.80708863282984e-12,2.91558354178786e-09
"5291","Ppp1r9a",5.32387342425198e-05,6.59233747926202,2.16477513137047e-11,8.80847000954644e-09
"5285","Ppp1r1b",5.05272051343682e-05,6.23390454127533,2.27475188242659e-10,8.81520515199408e-08
"6663","Spock3",4.94635932433998e-05,6.09330729162337,5.53007297189374e-10,2.04562426569415e-07
"4662","Nrxn3",4.87312326557629e-05,5.99649765151911,1.00809262278891e-09,3.56689468011137e-07
"7331","Trim2",4.81218700148049e-05,5.91594692424081,1.64985806296684e-09,5.59439371517673e-07
"3052","Grm5",4.69216281578963e-05,5.75728876572317,4.27378123598658e-09,1.39120126793835e-06
"667","Arpp19",4.5419887777365e-05,5.55877597267629,1.35836566780836e-08,4.25168454024018e-06
"1743","Cyfip2",4.50337179875404e-05,5.50772877133429,1.81746436276063e-08,5.47797221635038e-06
"4756","Ogfrl1",4.4650861021402e-05,5.45711948715249,2.4196036216005e-08,7.03240509735174e-06
"7510","Ubb",4.35704864420226e-05,5.31430640303367,5.35321692057497e-08,1.50222342412549e-05
"297","Actb",4.21787424344137e-05,5.13033386441222,1.44614365521376e-07,3.92290568870987e-05
"5396","Prrc2b",4.12707263132935e-05,5.01030458460329,2.71719780296249e-07,6.94736195618492e-05
"668","Arpp21",4.12629120004258e-05,5.00927162238611,2.73182087242464e-07,6.94736195618492e-05
"5767","Rgs9",3.94370480315837e-05,4.76791342167617,9.30718700349758e-07,0.000229520872225646
"5664","Rb1cc1",3.8803379869644e-05,4.68414978428431,1.40562191126806e-06,0.000336439738644103
"906","Bcl11b",3.63151701344646e-05,4.35523709696473,6.6461482371517e-06,0.00154532441011259
"1083","Camk2b",3.61070592531942e-05,4.32772723384856,7.53279410768601e-06,0.00170282995689858
"4684","Ntm",3.57006508183904e-05,4.27400471659017,9.59964854830561e-06,0.0021114037807057
"3628","Kmt2a",3.52870006474593e-05,4.21932492516923,1.22517458294347e-05,0.00262380809368263
"2198","Eif1",3.47999112748437e-05,4.15493731658195,1.62688365909109e-05,0.00339476390197007
"7234","Tmsb4x",3.4507586739455e-05,4.11629537770326,1.92505415279112e-05,0.00391652267385353
"2821","Glg1",3.34949809974049e-05,3.98244055384979,3.41055946574729e-05,0.00676954461762231
"1305","Celf1",3.27056729420892e-05,3.87810311399239,5.26370492444044e-05,0.010199054922642
"2251","Elavl3",3.23498083014098e-05,3.83106190455053,6.37956978856227e-05,0.0120737067300744
"1073","Calm2",3.22872236179999e-05,3.82278892976292,6.59753618866694e-05,0.0122024430689481
"6131","Scn2a1",3.20043032006764e-05,3.78539010704963,7.67338208756919e-05,0.013876885206364
"1591","Cox6b1",3.16693037488658e-05,3.74110703541474,9.16057341319105e-05,0.0162062492253367
"3011","Gpr88",3.09877318975569e-05,3.65101108166699,0.000130604983920827,0.0223041622537964
"1592","Cox6c",3.09736393745272e-05,3.64914821232954,0.000131555638754267,0.0223041622537964
"4278","mt-Nd1",3.08997276526179e-05,3.63937793342825,0.000136648724739021,0.0226948433046153
"4277","mt-Cytb",3.08197334786774e-05,3.62880362437838,0.000142368863737314,0.0231719562618852
"4976","Penk",3.0322598238176e-05,3.56308806768606,0.000183258824715131,0.0290279686407668
"1595","Cox7b",3.02986497929659e-05,3.55992235887951,0.000185482227736529,0.0290279686407668
"4463","Ndufa4",3.01997535513314e-05,3.54684941404616,0.000194933682954203,0.0299315153185152
"5248","Ppia",2.99589227927912e-05,3.51501435976567,0.000219865105186597,0.0331344856668246
"7622","Usmg5",2.93444102705054e-05,3.43378287745175,0.000297610384449556,0.0440355147027361
"2693","Fut9",2.92962819080663e-05,3.42742086190205,0.000304671941345246,0.0442753617619216
"1353","Chchd2",2.87491966220487e-05,3.35510248412508,0.000396677936147289,0.0566344744625726
"6136","Scn8a",2.87107139750515e-05,3.35001552113315,0.000404035161297588,0.056690312804134
"841","B4galt6",2.86131253505732e-05,3.33711542823696,0.000423263915965568,0.0583817245445389
"662","Arpc2",2.85096417526229e-05,3.32343608769984,0.000444578974840188,0.0596693856353732
"6890","Syt11",2.84969349923145e-05,3.3217564002438,0.000447263765514594,0.0596693856353732
"2259","Elmod1",2.82028412927771e-05,3.28288059822801,0.000513760885698711,0.067435259480905
"3837","Lynx1",2.8041787447125e-05,3.26159113358697,0.000553944070249897,0.0715555054554549
"1590","Cox6a1",2.79917134753283e-05,3.25497193087445,0.000567017866700303,0.0720998656126104
"2668","Frrs1l",2.76598899887589e-05,3.2111086852886,0.000661119579623411,0.082772171368851
"7426","Ttc3",2.7213439465416e-05,3.15209306481584,0.000810522991042481,0.0999399409258138
"761","Atp5j2",2.66816335541226e-05,3.08179444450949,0.00102878434529163,0.124958910477363
"494","Ankrd11",2.65033662921727e-05,3.05822956436291,0.00111324470320161,0.130903212511726
"1596","Cox7c",2.65007663310892e-05,3.05788587943363,0.00111452223294728,0.130903212511726
"756","Atp5g1",2.64775694863821e-05,3.05481952356254,0.00112597995524955,0.130903212511726
"4283","mt-Rnr1",2.62944431958439e-05,3.03061233576474,0.00122029190047295,0.139869513888012
"5765","Rgs7bp",2.62276037507797e-05,3.0217769304594,0.00125647829771385,0.142016949816602
"4487","Ndufc1",2.5938349062475e-05,2.98354079003082,0.00142467026743379,0.158821460772277
"791","Atpif1",2.57034441929053e-05,2.95248907006435,0.00157611614721051,0.173330178459447
"4486","Ndufb9",2.55967848799536e-05,2.938389936557,0.00164960889469231,0.178993562466746
"857","Baiap2",2.54457985173125e-05,2.91843127729176,0.0017589870545626,0.187525515641168
"6885","Syp",2.54253119391807e-05,2.91572318746635,0.00177432596514745,0.187525515641168
"2615","Fkbp3",2.53863521277253e-05,2.91057314882528,0.00180383253991961,0.188199861664946
"5353","Prkca",2.53078291556753e-05,2.90019331573158,0.00186466290472674,0.192083882514763
"1066","Cadm2",2.50377034768171e-05,2.86448581017403,0.00208843434088217,0.210260881766832
"1597","Cox8a",2.50071540800823e-05,2.86044753155387,0.00211521774456051,0.210260881766832
"4926","Pde10a",2.50032898545111e-05,2.85993672541119,0.00211862771011062,0.210260881766832
"1916","Dgkb",2.49144091389266e-05,2.84818771784141,0.00219844906205008,0.215087474376185
