"","gene","distance","Z","p.value","p.adj"
"3109","H1f0",1.7231673136936,25.2046405516235,1.78144657027939e-140,1.44974121889336e-136
"7528","Ube2l3",1.6778049594322,24.5363064290619,3.02800541793057e-133,1.23209540455595e-129
"403","Aida",1.50555688615586,21.9985354780059,1.48713748850435e-107,4.03410829381613e-104
"6669","Sppl3",1.33667886727546,19.5104163226817,4.47749316382766e-85,9.10945984180738e-82
"3653","L1cam",1.31495780028262,19.1903947875094,2.22622196141902e-82,3.6233988644056e-79
"1973","Dlgap4",1.27560544101993,18.6106073199762,1.31806249244186e-77,1.78773209391531e-74
"61","2010001M06Rik",1.26509850745542,18.4558062224805,2.34162057664494e-76,2.72230117896236e-73
"1624","Creb1",1.17496440775825,17.1278395546381,4.6004233890805e-66,4.67978069254213e-63
"3821","Lsm6",1.14760750216341,16.7247838977079,4.32446661271801e-63,3.91027881047769e-60
"7805","Wnk1",1.124045157235,16.3776343861883,1.38140665407631e-60,1.1241887350873e-57
"5239","Ppargc1a",1.11163068730387,16.1947291114603,2.7469561243168e-59,2.03224808542637e-56
"4685","Ntmt1",1.08777335489694,15.8432334807669,7.82795021695229e-57,5.30865490546315e-54
"6213","Sept4",1.06291515920314,15.4769918983361,2.4806753309448e-54,1.55290275717145e-51
"3068","Gstm1",1.01855113943491,14.8233664702057,5.17331803226473e-50,3.00717586761217e-47
"108","2610203C20Rik",0.995271149587576,14.4803769618083,8.06053118478551e-48,4.37310685211897e-45
"4285","mt-Ta",0.951196678249031,13.8310175180794,8.28302462522491e-44,4.21295340000502e-41
"174","6330403A02Rik",0.935224402483665,13.5956942619837,2.12355651734152e-42,1.01655899636031e-39
"5643","Rapgefl1",0.932664442448098,13.5579777749975,3.55342346026658e-42,1.60654222886941e-39
"289","Acp2",0.816128627986656,11.8410284990342,1.19748885220823e-32,5.12903383119502e-30
"7573","Uchl5",0.700949635103832,10.1440695911632,1.76058833938526e-24,7.16383395295863e-22
"3772","Lrpap1",0.686718676543106,9.93440156670204,1.47470786634353e-23,5.71484410300172e-21
"4000","Mea1",0.670114648962495,9.68977056408407,1.66638251834755e-22,6.16410042468745e-20
"3559","Kctd8",0.645737093437268,9.33061036511672,5.26314806766689e-21,1.86223908585535e-18
"831","B3gat1",0.634002256932435,9.15771828783015,2.65030895357876e-20,8.91969198010619e-18
"8064","Zfp9",0.633758015087971,9.154119815893,2.74013639103778e-20,8.91969198010619e-18
"7403","Tspan6",0.599964935703306,8.65623851261977,2.43793901424224e-18,7.63074911457822e-16
"3310","Id4",0.488340748709698,7.0116533872283,1.17759046533999e-12,3.5493448914581e-10
"4527","Neto2",0.482820798449521,6.93032667538128,2.09934954149742e-12,6.10160948882356e-10
"3550","Kctd1",0.480430438431649,6.89510894492697,2.69117691037379e-12,7.55199920573168e-10
"4760","Olfm3",0.470170669995269,6.74394938878707,7.70691253432867e-12,2.09062847347889e-09
"5433","Psmd12",0.435447833265158,6.23236975415997,2.29715742680421e-10,6.03040875462343e-08
"6293","Sh3pxd2a",0.401188452459368,5.72761832352647,5.0925198250117e-09,1.29509144799829e-06
"5636","Rap2b",0.399520331917133,5.70304151535428,5.88441519735796e-09,1.45113245079088e-06
"7400","Tspan3",0.380446163526142,5.4220173532985,2.94650798863944e-08,7.05255353280817e-06
"7875","Ywhaz",0.378262575089124,5.38984603666708,3.52590361082708e-08,8.1982295956888e-06
"6140","Scoc",0.375086901425623,5.34305809750484,4.56957277028462e-08,1.03297731123823e-05
"5570","Rab3a",0.373457127212678,5.31904625472645,5.21563080876715e-08,1.14715685193911e-05
"5030","Phc3",0.369150143578058,5.25559046246876,7.37751516792504e-08,1.57995311675195e-05
"5401","Psap",0.360647366796956,5.13031707329258,1.44627266490966e-07,3.01788896077816e-05
"610","Arhgdig",0.355551670508695,5.05524099395087,2.14923813705899e-07,4.37262498984651e-05
"3147","Hdac2",0.347957008016341,4.94334706393721,3.83962980807855e-07,7.62119692149836e-05
"6518","Smim8",0.338532168047667,4.80448870322581,7.75737300125735e-07,0.00015030833686722
"5779","Ric3",0.333345185290705,4.72806767909553,1.13333318939221e-06,0.000214489895238926
"5169","Pnmal2",0.331210603465773,4.69661838828533,1.32251977429017e-06,0.000244606043708487
"507","Ankrd37",0.312746013982674,4.42457529414746,4.8316098775353e-06,0.000873769804075162
"887","BC029214",0.312412187164448,4.41965694594267,4.94288525205464e-06,0.000874460873504797
"2031","Dnm1",0.310764253015485,4.39537754860055,5.52901932552287e-06,0.000957343814278833
"6294","Sh3rf2",0.30715548204286,4.3422086859878,7.05287260922577e-06,0.00119575577695582
"6106","Sc5d",0.304111223459504,4.29735691578571,8.64233810655471e-06,0.00143533362267637
"4154","Morf4l2",0.303780316267322,4.2924815831109,8.83436049399082e-06,0.00143788051400195
"2894","Gm561",0.297351072350552,4.19775803620042,1.34785212562279e-05,0.00215074913692515
"5730","Reln",0.277642346428444,3.90738479035745,4.66502524157611e-05,0.00730076450306661
"2053","Dpcd",0.27671412333501,3.89370906349557,4.93615215625325e-05,0.00757932193350735
"4625","Npdc1",0.275295590354887,3.87280948696273,5.3793963106255e-05,0.00810694947701303
"2862","Gm14290",0.273990394540743,3.85357973327336,5.82016662544802e-05,0.00861173018143563
"1310","Celf6",0.272104076941374,3.82578817707717,6.51771715998699e-05,0.00947163968713824
"5226","Pou3f1",0.271385285158267,3.81519805045149,6.80368769047842e-05,0.00971375621493218
"3722","Lingo2",0.251294330974736,3.51919334667659,0.000216430561366161,0.0303674466965141
"5140","Plekha6",0.247444800037892,3.46247731147868,0.000267613519158004,0.0369125223543701
"7308","Tram1",0.236375208656271,3.29938644541559,0.000484482103067966,0.0657119225794518
"3111","H2-D1",0.230773912002866,3.2168612382253,0.000648006322825238,0.0864504172975703
