"","gene","distance","Z","p.value","p.adj"
"1073","Calm2",0.000828390006086822,23.6156650443502,1.33044674514908e-123,1.08271756120232e-119
"297","Actb",0.000690559419933308,19.6153936942418,5.7124476959139e-86,2.32439496746737e-82
"4903","Pcp4",0.000507554109811091,14.304011660473,1.03275684386126e-46,2.8015250651143e-43
"3042","Grin2b",0.000502768430571121,14.1651163971739,7.53085779539772e-46,1.53215301847367e-42
"3034","Gria2",0.000489168829971194,13.7704137831096,1.9200369330671e-43,3.12505211226001e-40
"3249","Hpca",0.000452688375092396,12.7116377700116,2.5477964770044e-37,3.35980083789846e-34
"3052","Grm5",0.000452348743455118,12.7017806058936,2.88997368705938e-37,3.35980083789846e-34
"1723","Cx3cl1",0.00045075681426161,12.6555778803455,5.21029812384787e-37,5.30017576648425e-34
"5308","Ppp3ca",0.000447320310710963,12.555839882548,1.84621154651487e-36,1.669385507282e-33
"746","Atp2b2",0.000444191956234461,12.4650453271843,5.79029604775897e-36,4.71214292366625e-33
"4284","mt-Rnr2",0.000441899841469663,12.3985210434192,1.33095648962194e-35,9.84665810231211e-33
"4904","Pcp4l1",0.000430885825809314,12.07886012834,6.83001175888805e-34,4.63188630781925e-31
"6136","Scn8a",0.000425172420266571,11.9130393686522,5.0609605866493e-33,3.16816132724246e-30
"1386","Chn1",0.000415971912525372,11.646012081381,1.20225026513082e-31,6.98850904116758e-29
"420","Akap5",0.000413080690118035,11.5620998345741,3.20606754440978e-31,1.73939851176045e-28
"5355","Prkce",0.000410168307515841,11.4775734532444,8.55063961209442e-31,4.34906907270152e-28
"744","Atp2a2",0.000407876529998962,11.4110589574605,1.84109481309776e-30,8.81342916999385e-28
"5765","Rgs7bp",0.000402805943909479,11.2638948132159,9.89091288173382e-30,4.47179161286388e-27
"1743","Cyfip2",0.000375107474808078,10.4599992811691,6.59283336736305e-26,2.82381462861055e-23
"738","Atp1a1",0.000374091509889098,10.4305128263007,8.99573166680447e-26,3.66036321522274e-23
