"","gene","distance","Z","p.value","p.adj"
"2461","Fam173a",1.27876427149747,22.2656590523081,3.97721810313735e-110,3.23666009233318e-106
"1979","Dlx6",1.20111265111865,20.9013111143291,2.60471786586733e-97,1.05985969962142e-93
"4030","Mef2d",1.10311142740501,19.1794182955979,2.74960704023604e-82,7.45876736448029e-79
"5388","Prpsap1",1.02226447032698,17.758927922787,7.35079287973271e-71,1.49551881138162e-67
"3876","Malat1",1.02133506161591,17.7425981043969,9.83147643807145e-71,1.60017110506051e-67
"5532","Qpct",0.999382136615947,17.3568826768219,8.74846508707595e-68,1.1865834813104e-64
"7243","Tnfrsf21",0.974536867106605,16.9203484221826,1.59270245982715e-64,1.85163037401048e-61
"3005","Gpr22",0.818332416247315,14.1758181806586,6.46634997611273e-46,6.57789451320067e-43
"3217","Hmgn1",0.817084864648658,14.1538985549914,8.83421815505443e-46,7.98809637175921e-43
"4509","Nefm",0.814086523471586,14.1012173542343,1.86637255946369e-45,1.51885398889155e-42
"7030","Tfrc",0.810869702533521,14.0446974388444,4.15110989295392e-45,3.07106657353263e-42
"4373","Naa15",0.791001531321409,13.6956113760885,5.39243716495026e-43,3.65697113736377e-40
"4413","Nav2",0.787487921863341,13.6338768521263,1.2591910450163e-42,7.88253594180207e-40
"6407","Slc35e1",0.756464351586499,13.088789139475,1.90821666811927e-39,1.10921908893962e-36
"422","Akap7",0.739732598241065,12.794810300859,8.7639977098045e-38,4.75476089082593e-35
"910","Bcl2l2",0.722862839188057,12.4984066860228,3.80812340699274e-36,1.93690676788168e-33
"5643","Rapgefl1",0.719179560872035,12.4336910606314,8.57637452902208e-36,4.10556093630481e-33
"6067","Ryr2",0.705100423305009,12.1863189875905,1.83828213207476e-34,8.31107777268024e-32
"4777","Os9",0.693961037489531,11.9905986923339,1.99008983838451e-33,8.52386900251217e-31
"4614","Nop56",0.685539425808337,11.8426300024902,1.17483608159158e-32,4.78040801599613e-30
"2366","Etl4",0.683460475714646,11.8061026092477,1.81500530153457e-32,7.03357768756588e-30
"1335","Cerk",0.680848002412464,11.760201151616,3.12925063422662e-32,1.15753825733347e-29
"3906","Map4",0.655337633099438,11.3119810166141,5.72376486007799e-30,2.02521732310064e-27
"2488","Fam216a",0.649103676253942,11.202449674884,1.983061194276e-29,6.72422999959085e-27
"5836","Rnf157",0.647687499594014,11.177567287416,2.62548406634714e-29,8.54647573277322e-27
"1458","Clspn",0.64151158826597,11.0690558121312,8.86291707752042e-29,2.77409304526389e-26
