"","gene","distance","Z","p.value","p.adj"
"203","A630007B06Rik",0.005734084046933,16.2114926301236,2.09142454042897e-59,1.70200129100109e-55
"4619","Nova2",0.00491546770749232,13.8777403145628,4.3212931690643e-44,1.75833419049226e-40
"2307","Epb4.1l3",0.00489166196834533,13.809873725318,1.11110389005117e-43,3.01405448574547e-40
"3292","Htr2c",0.00466985312576275,13.1775300069619,5.90987915683671e-40,1.20236491445843e-36
"3450","Itgb8",0.00445396776446439,12.562073244677,1.70635749264682e-36,2.77726745503196e-33
"2470","Fam189a1",0.00438793439909939,12.3738220311352,1.81084383765291e-35,2.45610785846989e-32
"1041","Cabp1",0.00409180919374975,11.52961351686,4.67813935546127e-31,5.43867115353483e-28
"130","2900026A02Rik",0.00402946675354412,11.3518845769673,3.62906049990918e-30,3.69166179353262e-27
"5118","Pkn2",0.00379703944889297,10.6892692170054,5.71338798058627e-27,5.16617237622345e-24
"75","2300009A05Rik",0.0036868113943566,10.3750255779281,1.6106305453242e-25,1.31073113778483e-22
"1454","Clpp",0.00368357754998416,10.3658063729981,1.7737676746132e-25,1.3122655760002e-22
"145","4833424O15Rik",0.00367029345888524,10.3279354231177,2.63411298187318e-25,1.78636762054033e-22
"736","Atp13a2",0.00363845388793025,10.2371655852063,6.75687130291902e-25,4.22980143562731e-22
"1197","Ccnc",0.00361104650061482,10.1590312376136,1.51031404553085e-24,8.77923978752147e-22
"5270","Ppme1",0.00355122556903898,9.98849074036496,8.55839825327949e-24,4.6432163323459e-21
"5678","Rbm15b",0.00354365522295869,9.96690881994232,1.06373625438811e-23,5.41042852388153e-21
"2112","Dusp7",0.0035345488414478,9.94094789305448,1.38093198762991e-23,6.61060265607776e-21
"1217","Ccser2",0.00351344818877134,9.8807930993239,2.52160817396945e-23,1.14004707332019e-20
"2674","Fstl1",0.00344775467060521,9.69351073913759,1.6064529007792e-22,6.88069142449531e-20
"5445","Psme2",0.00343680983695657,9.66230866114291,2.17963644622336e-22,8.86894069968284e-20
"795","Atrnl1",0.00342129666199139,9.6180829277286,3.35347347863165e-22,1.2995508175764e-19
"5325","Praf2",0.00341450028618862,9.59870748040005,4.04765882113698e-22,1.49726579483694e-19
"2846","Gm10269",0.00340940642210528,9.58418563844931,4.65949419393038e-22,1.64865059783502e-19
"719","Atg2b",0.00339233126681496,9.53550693356959,7.45775221897691e-22,2.52879948158475e-19
"5096","Pink1",0.0033754885903826,9.48749099102061,1.1833091414775e-21,3.85190791733755e-19
"6159","Sdha",0.00337205832874742,9.47771182995528,1.29959967427747e-21,4.06774698048847e-19
"1628","Crebrf",0.0033625916521276,9.45072375578949,1.68247932576693e-21,5.07111731595973e-19
"2943","Gnl3",0.00330293315115731,9.28064632381758,8.42267924550409e-21,2.44799156071115e-18
"35","1500009L16Rik",0.00328722338463411,9.2358601373783,1.28109525692727e-20,3.59501834512901e-18
"5398","Prrg3",0.00326435080690422,9.1706538512731,2.3507925979452e-20,6.37691672069268e-18
"5343","Prkaa2",0.00326127415249706,9.16188277134105,2.54998117388052e-20,6.69411186872248e-18
"1272","Cdk13",0.00323850975522685,9.09698489148931,4.64371355201121e-20,1.18095440269585e-17
"2686","Fuca2",0.0032178908623834,9.03820352273412,7.96338135720852e-20,1.96381810560494e-17
"7748","Wasf3",0.00321621330820044,9.03342106754683,8.31934988297694e-20,1.99126086316666e-17
"5007","Pfn2",0.00318298227105227,8.9386843683673,1.96915483999313e-19,4.57856631081832e-17
"5707","Rc3h1",0.00314775629867463,8.8382604082734,4.86102311226002e-19,1.09886128021033e-16
"2475","Fam195b",0.00306553910813661,8.60387153823435,3.85356196227061e-18,8.47575331052925e-16
"2603","Fh1",0.00300548152358374,8.43265637886799,1.68952901370546e-17,3.61825976671974e-15
"7433","Ttc7b",0.00299156029443123,8.39296904402647,2.37008222445499e-17,4.94557157502941e-15
"2793","Gfod1",0.00298541488749592,8.37544941123348,2.75067654575105e-17,5.5962514323305e-15
"6139","Sco2",0.00297558608284537,8.34742896440476,3.48824820865033e-17,6.9237472980479e-15
"849","Bad",0.00295798166500498,8.29724141143315,5.32783536817432e-17,1.0323315291953e-14
"7101","Tmcc1",0.00293579783055558,8.23399862904541,9.05328816890419e-17,1.71338742136145e-14
"1951","Dip2b",0.002906202926562,8.14962799973325,1.82522731338297e-16,3.37584088097968e-14
"1244","Cdc26",0.00290238194661616,8.13873495940815,1.9971464130315e-16,3.61172833538896e-14
"4775","Orc6",0.00288472223547519,8.0883897735357,3.02293328377074e-16,5.34796327463616e-14
"4986","Pex11b",0.00287637502615976,8.06459313263104,3.67400857433318e-16,6.3615067612603e-14
"882","BC018242",0.00285328882856121,7.99877784834301,6.28300981365563e-16,1.0652319554902e-13
"6584","Snx13",0.00282901654175304,7.92958120174147,1.09943072596214e-15,1.82595249956732e-13
"4682","Nt5m",0.00280703765146179,7.86692268438803,1.81735558261905e-15,2.95792794627077e-13
"5293","Ppp2ca",0.00280141322585743,7.85088829117416,2.06550398113569e-15,3.29589635264357e-13
"6589","Snx19",0.00278938514232183,7.81659803033949,2.71350282964179e-15,4.24663192838941e-13
"4005","Med12l",0.00278757734425215,7.81144426937979,2.82681740406391e-15,4.34049811967398e-13
"1557","Cops5",0.0027813832384113,7.79378580331644,3.25153750359587e-15,4.90018744523392e-13
"1948","Dido1",0.0027789669567426,7.78689734694478,3.43373513122459e-15,5.08067936325558e-13
"7246","Tnk2",0.00276136718702195,7.73672304506488,5.10059717282501e-15,7.41226067722321e-13
"4291","mt-Ty",0.00274461117286422,7.68895416365347,7.41712957160915e-15,1.05895790269746e-12
"5068","Pick1",0.00273510996982506,7.66186765984829,9.16242093587432e-15,1.28558244096802e-12
"3260","Hs6st1",0.00272983573143848,7.64683159783186,1.02995905087505e-14,1.42064521288495e-12
"4960","Pdxp",0.00272816201329984,7.64206007863114,1.06886689636299e-14,1.44973980043366e-12
"4927","Pde12",0.00271756440627026,7.61184789161131,1.35102227024117e-14,1.80239659593814e-12
"5562","Rab2b",0.00271490075210584,7.6042542133831,1.43275749972595e-14,1.88060976334996e-12
